category,product_name,total_revenue,rank_in_category
Home,Pressure Cooker 256Gb,19546945.52,3
Home,Bed Sheet 128Gb,13474709.87,4
Home,Sofa,9109080.85,5
Home,Water Bottle 128Gb,5785606.74,6
Home,Led Lamp 2025 Edition,5185462.63,7
Home,Mixer Grinder Plus,4623138.56,8
Home,Water Bottle Pro,4504341.08,9
Home,Wall Clock 64Gb,3245067.67,10
Home,Sofa Xl,2658721.19,11
Home,Curtains Red,2390428.98,12
Home,Bed Sheet Max,2126921.54,13
Home,Mixer Grinder 2025 Edition,1945984.66,14
Home,Office Chair,1898052.97,15
Home,Dining Table 64Gb,1849945.78,16
Home,Wall Clock 256Gb,1744442.06,17
Home,Dining Table 512Gb,1352692.54,18
Home,Mixer Grinder,1302690.47,19
Home,Dining Table 128Gb,1211048.38,20
Home,Bed Sheet White,1032184.06,21
Home,Water Bottle,977543.1,22
Home,Wall Clock Max,670125.01,23
Home,Pressure Cooker,668298.59,24
Home,Wall Clock,614022.0,25
Home,Curtains Blue,577054.6,26
Home,Led Lamp,558400.66,27
Home,Water Bottle Red,538497.9,28
Home,Office Chair Red,497910.74,29
Home,Led Lamp Max,417185.89,30
Home,Mixer Grinder Xl,379442.86,31
Home,Bed Sheet 256Gb,368512.97,32
Home,Pressure Cooker Black,332205.03,33
Home,Bed Sheet,296180.67,34
Home,Pressure Cooker White,274753.88,35
Home,Bed Sheet Pro,254454.62,36
Home,Office Chair Max,229781.15,37
Home,Curtains 256Gb,196983.86,38
Home,Sofa Max,195406.39,39
Home,Curtains Xl,180155.94,40
Home,Mixer Grinder Red,163384.51,41
Home,Led Lamp 64Gb,151022.81,42
Home,Led Lamp Xl,84905.57,43
Home,Dining Table Xl,77527.85,44
Home,Sofa 2026 Edition,66498.75,45
Home,Pressure Cooker 128Gb,38836.1,46
Home,Bed Sheet Xl,38165.29,47
Home,Bed Sheet Black,22586.4,48
Home,Dining Table White,11089.44,49
Home,Wall Clock Plus,7137.26,50
Sports,Badminton Racket Blue,5985361.96,1
Sports,Gym Gloves Blue,2721561.07,2
Sports,Skipping Rope,2071567.37,3
Sports,Football Black,1858210.29,4
Sports,Football Red,1838550.93,5
Sports,Football 256Gb,1683763.7,6
Sports,Helmet Plus,1325831.73,7
Sports,Skipping Rope 64Gb,1173132.73,8
Sports,Tennis Ball Black,1168794.02,9
Sports,Cricket Bat Pro,1144510.63,10
Sports,Football,808526.6,11
Sports,Football Plus,456215.04,12
Sports,Cricket Bat,451039.23,13
Sports,Gym Gloves 2025 Edition,320539.33,14
Sports,Skipping Rope 2026 Edition,320103.21,15
Sports,Badminton Racket White,312114.41,16
Sports,Yoga Mat Pro,274173.42,17
Sports,Skipping Rope Plus,270388.95,18
Sports,Tennis Ball 512Gb,237315.26,19
Sports,Helmet,187583.41,20
Sports,Football 2026 Edition,187113.9,21
Sports,Badminton Racket Red,185987.61,22
Sports,Gym Gloves,123203.84,23
Sports,Cricket Bat White,106851.39,24
Sports,Yoga Mat,66257.5,25
Sports,Yoga Mat 256Gb,62269.45,26
Sports,Tennis Ball,49218.66,27
Sports,Skipping Rope 128Gb,45717.95,28
Sports,Football Pro,44229.42,29
Sports,Cricket Bat Red,15627.41,30
Sports,Gym Gloves Plus,11093.97,31
