region_code,order_date,daily_revenue,running_total
CENTRAL,2024-10-22,995720.91,29474390.45
CENTRAL,2024-10-23,217703.75,29692094.2
CENTRAL,2024-10-25,866330.34,30558424.54
CENTRAL,2024-10-27,891848.82,31450273.36
CENTRAL,2024-10-29,342825.73,31793099.09
CENTRAL,2024-11-01,255180.38,32048279.47
CENTRAL,2024-11-02,5661.51,32053940.98
CENTRAL,2024-11-03,659091.53,32713032.51
CENTRAL,2024-11-04,669978.13,33383010.64
CENTRAL,2024-11-05,233267.57,33616278.21
CENTRAL,2024-11-06,321.52,33616599.73
CENTRAL,2024-11-07,495855.97,34112455.7
CENTRAL,2024-11-09,225358.29,34337813.99
CENTRAL,2024-11-10,306751.69,34644565.68
CENTRAL,2024-11-11,24257.21,34668822.89
CENTRAL,2024-11-12,895863.21,35564686.1
CENTRAL,2024-11-13,109332.94,35674019.04
CENTRAL,2024-11-14,480319.11,36154338.15
CENTRAL,2024-11-15,488546.12,36642884.27
CENTRAL,2024-11-16,469529.23,37112413.5
CENTRAL,2024-11-17,1285604.69,38398018.19
CENTRAL,2024-11-20,72803.31,38470821.5
CENTRAL,2024-11-21,106125.12,38576946.62
CENTRAL,2024-11-22,297857.93,38874804.55
CENTRAL,2024-11-23,256403.13,39131207.68
CENTRAL,2024-11-24,33422.99,39164630.67
CENTRAL,2024-11-25,553452.36,39718083.03
CENTRAL,2024-11-28,454153.32,40172236.35
CENTRAL,2024-12-02,711896.3,40884132.65
CENTRAL,2024-12-03,751683.33,41635815.98
CENTRAL,2024-12-04,592334.9,42228150.88
CENTRAL,2024-12-05,638976.25,42867127.13
CENTRAL,2024-12-06,449425.93,43316553.06
CENTRAL,2024-12-07,11967.65,43328520.71
CENTRAL,2024-12-10,337476.17,43665996.88
CENTRAL,2024-12-11,457836.54,44123833.42
CENTRAL,2024-12-13,399218.45,44523051.87
CENTRAL,2024-12-14,8558.15,44531610.02
CENTRAL,2024-12-15,215562.92,44747172.94
CENTRAL,2024-12-16,598623.97,45345796.91
CENTRAL,2024-12-17,66412.73,45412209.64
CENTRAL,2024-12-21,583522.0,45995731.64
CENTRAL,2024-12-22,68975.82,46064707.46
CENTRAL,2024-12-24,371019.75,46435727.21
CENTRAL,2024-12-26,807385.12,47243112.33
CENTRAL,2024-12-27,933.32,47244045.65
CENTRAL,2024-12-28,1544441.73,48788487.38
CENTRAL,2024-12-29,104299.71,48892787.09
CENTRAL,2025-01-04,4010.38,48896797.47
CENTRAL,2025-01-07,1484765.2,50381562.67
CENTRAL,2025-01-10,333023.73,50714586.4
CENTRAL,2025-01-18,839757.15,51554343.55
CENTRAL,2025-01-20,19201.47,51573545.02
CENTRAL,2025-01-24,907649.6,52481194.62
CENTRAL,2025-01-26,42109.28,52523303.9
CENTRAL,2025-02-02,408090.58,52931394.48
CENTRAL,2025-02-19,65399.08,52996793.56
CENTRAL,2025-02-21,157376.22,53154169.78
CENTRAL,2025-02-22,67597.17,53221766.95
CENTRAL,2025-03-06,203090.77,53424857.72
CENTRAL,2025-03-12,109541.48,53534399.2
CENTRAL,2025-03-17,176500.89,53710900.09
CENTRAL,2025-03-22,967790.25,54678690.34
CENTRAL,2025-03-29,251360.19,54930050.53
CENTRAL,2025-04-06,3629.4,54933679.93
CENTRAL,2025-04-14,467119.95,55400799.88
CENTRAL,2025-04-15,1264.01,55402063.89
CENTRAL,2025-04-25,2157990.65,57560054.54
CENTRAL,2025-04-30,29601.76,57589656.3
CENTRAL,2025-05-02,467280.77,58056937.07
CENTRAL,2025-05-17,61634.03,58118571.1
CENTRAL,2025-05-18,907484.06,59026055.16
CENTRAL,2025-05-19,16570.9,59042626.06
CENTRAL,2025-05-20,226164.99,59268791.05
CENTRAL,2025-05-24,256010.83,59524801.88
CENTRAL,2025-06-03,881409.15,60406211.03
CENTRAL,2025-06-07,17089.28,60423300.31
CENTRAL,2025-06-08,134136.77,60557437.08
CENTRAL,2025-06-10,351290.87,60908727.95
CENTRAL,2025-06-11,3290.94,60912018.89
CENTRAL,2025-06-13,101058.5,61013077.39
CENTRAL,2025-06-24,7592.12,61020669.51
CENTRAL,2025-06-28,568661.58,61589331.09
CENTRAL,2025-07-05,25419.08,61614750.17
CENTRAL,2025-07-10,1438.31,61616188.48
CENTRAL,2025-07-14,25016.99,61641205.47
CENTRAL,2025-07-24,12351.3,61653556.77
CENTRAL,2025-07-31,586353.02,62239909.79
CENTRAL,2025-08-03,64721.18,62304630.97
CENTRAL,2025-08-05,170176.54,62474807.51
CENTRAL,2025-08-07,142308.96,62617116.47
CENTRAL,2025-08-15,1488300.59,64105417.06
CENTRAL,2025-08-20,634662.99,64740080.05
CENTRAL,2025-08-21,783775.12,65523855.17
CENTRAL,2025-08-25,456.22,65524311.39
CENTRAL,2025-08-27,9891.62,65534203.01
CENTRAL,2025-09-07,47891.61,65582094.62
CENTRAL,2025-09-17,523173.13,66105267.75
CENTRAL,2025-09-22,2461.11,66107728.86
CENTRAL,2025-09-25,17890.29,66125619.15
CENTRAL,2025-10-02,1069019.24,67194638.39
CENTRAL,2025-10-03,154433.02,67349071.41
CENTRAL,2025-10-05,591780.18,67940851.59
CENTRAL,2025-10-06,1034197.71,68975049.3
CENTRAL,2025-10-08,27428.06,69002477.36
CENTRAL,2025-10-10,32300.97,69034778.33
CENTRAL,2025-10-13,17931.52,69052709.85
CENTRAL,2025-10-14,621093.15,69673803.0
CENTRAL,2025-10-16,12809.33,69686612.33
CENTRAL,2025-10-17,95378.84,69781991.17
CENTRAL,2025-10-19,63837.43,69845828.6
CENTRAL,2025-10-20,316626.02,70162454.62
CENTRAL,2025-10-21,171490.07,70333944.69
CENTRAL,2025-10-23,129583.41,70463528.1
CENTRAL,2025-10-24,280620.9,70744149.0
CENTRAL,2025-10-26,1734656.71,72478805.71
CENTRAL,2025-10-27,247244.88,72726050.59
CENTRAL,2025-10-28,372028.42,73098079.01
CENTRAL,2025-10-29,1619731.16,74717810.17
CENTRAL,2025-10-30,615601.26,75333411.43
CENTRAL,2025-10-31,889696.19,76223107.62
CENTRAL,2025-11-01,912144.6,77135252.22
CENTRAL,2025-11-03,761.83,77136014.05
CENTRAL,2025-11-05,2378008.09,79514022.14
CENTRAL,2025-11-06,233382.96,79747405.1
CENTRAL,2025-11-07,230663.06,79978068.16
CENTRAL,2025-11-08,1228719.05,81206787.21
CENTRAL,2025-11-09,16051.35,81222838.56
CENTRAL,2025-11-10,20929.84,81243768.4
CENTRAL,2025-11-11,29063.68,81272832.08
CENTRAL,2025-11-12,717831.6,81990663.68
CENTRAL,2025-11-15,745751.83,82736415.51
CENTRAL,2025-11-16,14898.01,82751313.52
CENTRAL,2025-11-17,2011355.92,84762669.44
CENTRAL,2025-11-21,1358845.41,86121514.85
CENTRAL,2025-11-22,605308.55,86726823.4
CENTRAL,2025-11-25,527502.69,87254326.09
CENTRAL,2025-11-26,279790.73,87534116.82
CENTRAL,2025-11-27,89607.0,87623723.82
CENTRAL,2025-11-28,99071.81,87722795.63
CENTRAL,2025-12-01,1012325.86,88735121.49
CENTRAL,2025-12-02,737803.89,89472925.38
CENTRAL,2025-12-05,5325.5,89478250.88
CENTRAL,2025-12-06,19662.89,89497913.77
CENTRAL,2025-12-07,488696.45,89986610.22
CENTRAL,2025-12-10,276328.11,90262938.33
CENTRAL,2025-12-13,78526.98,90341465.31
CENTRAL,2025-12-16,24682.77,90366148.08
CENTRAL,2025-12-19,200544.75,90566692.83
CENTRAL,2025-12-20,406769.38,90973462.21
CENTRAL,2025-12-23,93811.85,91067274.06
CENTRAL,2025-12-24,823257.43,91890531.49
CENTRAL,2025-12-26,60026.72,91950558.21
CENTRAL,2025-12-28,30030.51,91980588.72
CENTRAL,2026-01-01,365008.6,92345597.32
CENTRAL,2026-01-03,41657.14,92387254.46
CENTRAL,2026-01-04,168105.22,92555359.68
CENTRAL,2026-01-07,33277.43,92588637.11
CENTRAL,2026-01-11,36520.95,92625158.06
CENTRAL,2026-01-14,291607.86,92916765.92
CENTRAL,2026-01-22,333646.03,93250411.95
CENTRAL,2026-01-23,108541.41,93358953.36
CENTRAL,2026-01-28,620942.33,93979895.69
CENTRAL,2026-01-31,2188.9,93982084.59
CENTRAL,2026-02-01,14457.68,93996542.27
CENTRAL,2026-02-09,969839.64,94966381.91
CENTRAL,2026-02-13,645954.73,95612336.64
CENTRAL,2026-02-14,575.53,95612912.17
CENTRAL,2026-02-15,154242.83,95767155.0
CENTRAL,2026-02-19,277652.23,96044807.23
CENTRAL,2026-02-20,955679.87,97000487.1
CENTRAL,2026-02-21,970072.61,97970559.71
CENTRAL,2026-02-25,372532.24,98343091.95
CENTRAL,2026-03-03,198441.7,98541533.65
CENTRAL,2026-03-08,43467.07,98585000.72
CENTRAL,2026-03-16,26591.96,98611592.68
CENTRAL,2026-03-18,3034.51,98614627.19
CENTRAL,2026-03-22,605783.77,99220410.96
CENTRAL,2026-03-24,2464.54,99222875.5
CENTRAL,2026-03-25,1071505.27,100294380.77
CENTRAL,2026-03-27,21261.23,100315642.0
CENTRAL,2026-03-29,294570.85,100610212.85
CENTRAL,2026-03-30,11949.72,100622162.57
CENTRAL,2026-04-01,55782.5,100677945.07
CENTRAL,2026-04-02,693370.53,101371315.6
CENTRAL,2026-04-14,5036.74,101376352.34
CENTRAL,2026-04-16,67873.99,101444226.33
CENTRAL,2026-04-24,619471.05,102063697.38
CENTRAL,2026-04-26,40356.82,102104054.2
CENTRAL,2026-04-29,694504.49,102798558.69
CENTRAL,2026-05-01,531119.79,103329678.48
CENTRAL,2026-05-03,403240.38,103732918.86
CENTRAL,2026-05-07,70126.26,103803045.12
CENTRAL,2026-05-12,436182.1,104239227.22
CENTRAL,2026-05-13,570399.77,104809626.99
CENTRAL,2026-05-29,579435.93,105389062.92
CENTRAL,2026-05-30,283487.81,105672550.73
CENTRAL,2026-05-31,28163.66,105700714.39
CENTRAL,2026-06-01,77264.12,105777978.51
CENTRAL,2026-06-05,318977.47,106096955.98
CENTRAL,2026-06-06,350403.7,106447359.68
CENTRAL,2026-06-10,216448.64,106663808.32
CENTRAL,2026-06-11,63596.77,106727405.09
CENTRAL,2026-06-17,96980.97,106824386.06
CENTRAL,2026-06-19,643176.99,107467563.05
CENTRAL,2026-06-25,57544.13,107525107.18
CENTRAL,2026-07-13,180519.06,107705626.24
CENTRAL,2026-07-18,1026778.53,108732404.77
CENTRAL,2026-07-25,136542.3,108868947.07
CENTRAL,2026-07-28,981825.99,109850773.06
CENTRAL,2026-07-29,1031982.21,110882755.27
CENTRAL,2026-09-26,252651.43,111135406.7
CENTRAL,2026-10-29,3317.29,111138723.99
CENTRAL,2026-11-02,441277.61,111580001.6
CENTRAL,2027-01-12,10114.0,111590115.6
EAST,2024-01-01,104279.45,104279.45
EAST,2024-01-02,18439.23,122718.68
EAST,2024-01-05,45601.35,168320.03
EAST,2024-01-07,75889.05,244209.08
EAST,2024-01-08,459022.35,703231.43
EAST,2024-01-11,595349.53,1298580.96
EAST,2024-01-12,109268.01,1407848.97
EAST,2024-01-15,205657.94,1613506.91
EAST,2024-01-16,1138955.27,2752462.18
EAST,2024-01-17,495892.53,3248354.71
EAST,2024-01-22,1058028.44,4306383.15
EAST,2024-01-25,29635.42,4336018.57
EAST,2024-01-27,1083655.58,5419674.15
EAST,2024-02-01,25789.54,5445463.69
EAST,2024-02-02,427184.73,5872648.42
EAST,2024-02-04,13096.06,5885744.48
EAST,2024-02-11,62270.99,5948015.47
EAST,2024-02-13,209914.66,6157930.13
EAST,2024-02-16,10505.89,6168436.02
EAST,2024-02-18,553003.99,6721440.01
EAST,2024-02-19,62116.38,6783556.39
EAST,2024-02-21,304376.36,7087932.75
EAST,2024-02-26,9114.52,7097047.27
EAST,2024-02-28,65721.62,7162768.89
EAST,2024-02-29,676318.59,7839087.48
EAST,2024-03-01,20245.16,7859332.64
EAST,2024-03-03,356089.28,8215421.92
EAST,2024-03-04,325180.71,8540602.63
EAST,2024-03-08,931990.34,9472592.97
EAST,2024-03-11,297515.8,9770108.77
EAST,2024-03-14,162693.27,9932802.04
EAST,2024-03-15,2383.77,9935185.81
EAST,2024-03-16,883469.85,10818655.66
EAST,2024-03-17,501774.71,11320430.37
EAST,2024-03-18,503056.65,11823487.02
EAST,2024-03-23,14084.78,11837571.8
EAST,2024-03-24,1696885.67,13534457.47
EAST,2024-03-27,305103.96,13839561.43
EAST,2024-03-28,2601.07,13842162.5
EAST,2024-04-05,8396.87,13850559.37
EAST,2024-04-07,125830.01,13976389.38
EAST,2024-04-08,175453.86,14151843.24
EAST,2024-04-12,1379.12,14153222.36
EAST,2024-04-13,11452.62,14164674.98
EAST,2024-04-14,16370.31,14181045.29
EAST,2024-04-15,1068420.3,15249465.59
EAST,2024-04-18,116210.52,15365676.11
EAST,2024-04-20,285593.52,15651269.63
EAST,2024-04-21,175632.64,15826902.27
EAST,2024-04-24,335129.73,16162032.0
EAST,2024-04-25,6997.77,16169029.77
EAST,2024-04-26,138863.39,16307893.16
EAST,2024-04-28,186010.7,16493903.86
EAST,2024-05-02,1708.06,16495611.92
EAST,2024-05-03,87613.84,16583225.76
EAST,2024-05-07,495122.21,17078347.97
EAST,2024-05-08,729550.46,17807898.43
EAST,2024-05-09,300065.79,18107964.22
EAST,2024-05-10,473658.5,18581622.72
EAST,2024-05-11,20473.09,18602095.81
EAST,2024-05-21,663407.49,19265503.3
EAST,2024-05-22,619834.33,19885337.63
EAST,2024-05-24,49236.54,19934574.17
EAST,2024-05-25,82895.79,20017469.96
EAST,2024-05-26,2707.99,20020177.95
EAST,2024-05-27,108487.62,20128665.57
EAST,2024-05-28,228504.55,20357170.12
EAST,2024-05-30,1703.47,20358873.59
EAST,2024-06-01,101675.84,20460549.43
EAST,2024-06-03,509370.13,20969919.56
EAST,2024-06-05,2956.6,20972876.16
EAST,2024-06-08,7153.66,20980029.82
EAST,2024-06-09,44794.07,21024823.89
EAST,2024-06-21,633512.0,21658335.89
EAST,2024-06-28,524684.61,22183020.5
EAST,2024-07-01,547032.89,22730053.39
EAST,2024-07-04,460372.57,23190425.96
EAST,2024-07-05,478822.75,23669248.71
EAST,2024-07-06,191192.74,23860441.45
EAST,2024-07-11,14791.33,23875232.78
EAST,2024-07-12,361087.69,24236320.47
EAST,2024-07-13,97665.26,24333985.73
EAST,2024-07-15,478467.02,24812452.75
EAST,2024-07-18,923614.75,25736067.5
EAST,2024-07-27,272797.06,26008864.56
EAST,2024-07-28,946475.29,26955339.85
EAST,2024-07-30,37170.25,26992510.1
EAST,2024-08-01,137007.32,27129517.42
EAST,2024-08-07,995708.31,28125225.73
EAST,2024-08-08,33951.46,28159177.19
EAST,2024-08-09,21314.66,28180491.85
EAST,2024-08-11,51508.01,28231999.86
EAST,2024-08-12,208135.49,28440135.35
EAST,2024-08-13,48678.91,28488814.26
EAST,2024-08-15,61300.69,28550114.95
EAST,2024-08-16,881793.35,29431908.3
EAST,2024-08-18,371958.36,29803866.66
EAST,2024-08-22,351824.65,30155691.31
EAST,2024-08-24,214121.82,30369813.13
EAST,2024-08-25,438112.13,30807925.26
EAST,2024-08-27,151560.85,30959486.11
EAST,2024-08-28,775534.23,31735020.34
EAST,2024-09-05,131210.56,31866230.9
EAST,2024-09-12,668385.78,32534616.68
EAST,2024-09-13,9735.26,32544351.94
EAST,2024-09-19,22741.51,32567093.45
EAST,2024-09-22,33178.91,32600272.36
EAST,2024-09-23,151687.85,32751960.21
EAST,2024-09-24,436310.24,33188270.45
EAST,2024-09-25,30897.0,33219167.45
EAST,2024-09-27,98376.74,33317544.19
EAST,2024-09-28,432420.03,33749964.22
EAST,2024-09-29,1205584.68,34955548.9
EAST,2024-10-01,831856.03,35787404.93
EAST,2024-10-04,295164.16,36082569.09
EAST,2024-10-05,1323644.1,37406213.19
EAST,2024-10-06,103716.99,37509930.18
EAST,2024-10-07,33362.96,37543293.14
EAST,2024-10-08,1522245.84,39065538.98
EAST,2024-10-09,23408.34,39088947.32
EAST,2024-10-10,1395286.63,40484233.95
EAST,2024-10-11,438705.84,40922939.79
EAST,2024-10-12,389651.59,41312591.38
EAST,2024-10-13,530563.99,41843155.37
EAST,2024-10-14,132877.73,41976033.1
EAST,2024-10-15,34894.74,42010927.84
EAST,2024-10-16,542882.97,42553810.81
EAST,2024-10-17,388069.16,42941879.97
EAST,2024-10-18,1013610.35,43955490.32
EAST,2024-10-19,570666.06,44526156.38
EAST,2024-10-20,470876.85,44997033.23
EAST,2024-10-21,45437.95,45042471.18
EAST,2024-10-22,352938.42,45395409.6
EAST,2024-10-23,720939.9,46116349.5
EAST,2024-10-24,1136347.06,47252696.56
EAST,2024-10-25,856980.53,48109677.09
EAST,2024-10-26,407787.03,48517464.12
EAST,2024-10-27,193671.65,48711135.77
EAST,2024-10-28,72158.43,48783294.2
EAST,2024-11-01,2538691.99,51321986.19
EAST,2024-11-02,528755.2,51850741.39
EAST,2024-11-04,305472.33,52156213.72
EAST,2024-11-05,816297.4,52972511.12
EAST,2024-11-07,370106.53,53342617.65
EAST,2024-11-08,310156.82,53652774.47
EAST,2024-11-09,2290930.26,55943704.73
EAST,2024-11-10,42436.46,55986141.19
EAST,2024-11-11,80341.45,56066482.64
EAST,2024-11-12,168833.89,56235316.53
EAST,2024-11-13,308107.92,56543424.45
EAST,2024-11-15,1573137.32,58116561.77
EAST,2024-11-16,601251.16,58717812.93
EAST,2024-11-17,455232.77,59173045.7
EAST,2024-11-20,2206131.33,61379177.03
EAST,2024-11-21,490275.8,61869452.83
EAST,2024-11-22,2143038.35,64012491.18
EAST,2024-11-23,1170228.23,65182719.41
EAST,2024-11-24,855628.1,66038347.51
EAST,2024-11-26,136052.15,66174399.66
EAST,2024-11-27,689091.97,66863491.63
EAST,2024-11-30,344839.18,67208330.81
EAST,2024-12-01,581762.12,67790092.93
EAST,2024-12-02,1532900.63,69322993.56
EAST,2024-12-03,648126.61,69971120.17
EAST,2024-12-04,108184.33,70079304.5
EAST,2024-12-05,263424.85,70342729.35
EAST,2024-12-06,437342.03,70780071.38
EAST,2024-12-08,1310653.77,72090725.15
EAST,2024-12-09,1525951.97,73616677.12
EAST,2024-12-10,426536.94,74043214.06
EAST,2024-12-11,50768.2,74093982.26
EAST,2024-12-12,107892.88,74201875.14
EAST,2024-12-13,982326.66,75184201.8
EAST,2024-12-14,96627.5,75280829.3
EAST,2024-12-15,682146.89,75962976.19
EAST,2024-12-16,3715.59,75966691.78
EAST,2024-12-18,920028.3,76886720.08
EAST,2024-12-19,806424.48,77693144.56
EAST,2024-12-20,16068.27,77709212.83
EAST,2024-12-21,1092798.65,78802011.48
EAST,2024-12-22,412284.72,79214296.2
EAST,2024-12-23,641396.36,79855692.56
EAST,2024-12-24,196800.47,80052493.03
EAST,2024-12-25,306361.74,80358854.77
EAST,2024-12-26,1242839.67,81601694.44
EAST,2024-12-27,668384.8,82270079.24
EAST,2024-12-28,5365.37,82275444.61
EAST,2024-12-29,520476.97,82795921.58
EAST,2025-01-01,161969.46,82957891.04
EAST,2025-01-04,4712.13,82962603.17
EAST,2025-01-11,125138.99,83087742.16
EAST,2025-01-13,4709.09,83092451.25
EAST,2025-01-15,33180.01,83125631.26
EAST,2025-01-19,6778.14,83132409.4
EAST,2025-01-20,379560.68,83511970.08
EAST,2025-01-21,186091.37,83698061.45
EAST,2025-01-22,161356.33,83859417.78
EAST,2025-01-23,30000.84,83889418.62
EAST,2025-01-27,39810.0,83929228.62
EAST,2025-01-29,21589.24,83950817.86
EAST,2025-01-31,718.27,83951536.13
EAST,2025-02-01,345329.59,84296865.72
EAST,2025-02-03,643726.17,84940591.89
EAST,2025-02-05,17484.33,84958076.22
EAST,2025-02-06,14501.32,84972577.54
EAST,2025-02-07,74619.82,85047197.36
EAST,2025-02-09,137403.48,85184600.84
EAST,2025-02-13,289413.34,85474014.18
EAST,2025-02-14,195291.01,85669305.19
EAST,2025-02-16,92005.06,85761310.25
EAST,2025-02-21,348084.68,86109394.93
EAST,2025-02-22,266194.29,86375589.22
EAST,2025-02-23,516750.42,86892339.64
EAST,2025-02-25,227568.37,87119908.01
EAST,2025-03-01,241863.14,87361771.15
EAST,2025-03-03,10532.97,87372304.12
EAST,2025-03-04,510927.04,87883231.16
EAST,2025-03-10,144790.26,88028021.42
EAST,2025-03-11,67122.98,88095144.4
EAST,2025-03-13,895372.23,88990516.63
EAST,2025-03-18,262751.65,89253268.28
EAST,2025-03-19,1840.95,89255109.23
EAST,2025-03-21,81316.92,89336426.15
EAST,2025-03-23,46189.87,89382616.02
EAST,2025-03-24,538336.4,89920952.42
EAST,2025-03-25,35068.04,89956020.46
EAST,2025-03-29,133694.82,90089715.28
EAST,2025-03-30,568859.95,90658575.23
EAST,2025-04-01,14106.43,90672681.66
EAST,2025-04-07,1031021.61,91703703.27
EAST,2025-04-08,444412.42,92148115.69
EAST,2025-04-11,1646.42,92149762.11
EAST,2025-04-13,508414.23,92658176.34
EAST,2025-04-15,762638.73,93420815.07
EAST,2025-04-16,2258.21,93423073.28
EAST,2025-04-20,576202.48,93999275.76
EAST,2025-05-01,76439.06,94075714.82
EAST,2025-05-10,67905.52,94143620.34
EAST,2025-05-12,12585.12,94156205.46
EAST,2025-05-14,25070.3,94181275.76
EAST,2025-05-19,292174.68,94473450.44
EAST,2025-05-20,27232.64,94500683.08
EAST,2025-05-22,78160.53,94578843.61
EAST,2025-05-25,4548.44,94583392.05
EAST,2025-05-27,1815.87,94585207.92
EAST,2025-05-28,909275.29,95494483.21
EAST,2025-05-31,14747.59,95509230.8
EAST,2025-06-02,527407.16,96036637.96
EAST,2025-06-03,71301.81,96107939.77
EAST,2025-06-04,60677.52,96168617.29
EAST,2025-06-11,117653.58,96286270.87
EAST,2025-06-12,53479.67,96339750.54
EAST,2025-06-18,59242.08,96398992.62
EAST,2025-06-19,521237.37,96920229.99
EAST,2025-06-20,792907.22,97713137.21
EAST,2025-06-23,740865.38,98454002.59
EAST,2025-06-24,24082.11,98478084.7
EAST,2025-06-26,136802.32,98614887.02
EAST,2025-06-27,561488.25,99176375.27
EAST,2025-06-28,568948.6,99745323.87
EAST,2025-07-02,294760.54,100040084.41
EAST,2025-07-03,165054.45,100205138.86
EAST,2025-07-05,755788.93,100960927.79
EAST,2025-07-07,23498.19,100984425.98
EAST,2025-07-08,395672.83,101380098.81
EAST,2025-07-09,61964.97,101442063.78
EAST,2025-07-13,4876.08,101446939.86
EAST,2025-07-14,411195.21,101858135.07
EAST,2025-07-16,104991.71,101963126.78
EAST,2025-07-17,167411.36,102130538.14
EAST,2025-07-18,307782.85,102438320.99
EAST,2025-07-24,828605.55,103266926.54
EAST,2025-07-25,398268.93,103665195.47
EAST,2025-07-26,1281095.88,104946291.35
EAST,2025-07-27,1261.27,104947552.62
EAST,2025-07-30,9025.32,104956577.94
EAST,2025-08-03,9636.55,104966214.49
EAST,2025-08-04,5206.95,104971421.44
EAST,2025-08-11,978252.21,105949673.65
EAST,2025-08-13,90589.36,106040263.01
EAST,2025-08-16,22169.07,106062432.08
EAST,2025-08-17,490681.7,106553113.78
EAST,2025-08-18,543430.01,107096543.79
EAST,2025-08-25,927.12,107097470.91
EAST,2025-08-26,354451.52,107451922.43
EAST,2025-08-27,10525.88,107462448.31
EAST,2025-09-01,105526.17,107567974.48
EAST,2025-09-04,862461.51,108430435.99
EAST,2025-09-06,94190.33,108524626.32
EAST,2025-09-10,2715.57,108527341.89
EAST,2025-09-13,1096963.15,109624305.04
EAST,2025-09-17,21366.47,109645671.51
EAST,2025-09-18,13815.24,109659486.75
EAST,2025-09-20,1158550.92,110818037.67
EAST,2025-09-21,47020.39,110865058.06
EAST,2025-09-22,235577.95,111100636.01
EAST,2025-09-23,630126.11,111730762.12
EAST,2025-09-28,168340.82,111899102.94
EAST,2025-10-01,1836794.59,113735897.53
