customer_id,revenue,cumulative_revenue,cumulative_percent,customer_percent
C00414,7060462.59,563986341.31,37.98,7.67
C00361,6971920.6,570958261.91,38.45,7.83
C00014,6920549.23,577878811.14,38.92,8.0
C00114,6798279.46,584677090.6,39.37,8.17
C00264,6752755.11,591429845.71,39.83,8.33
C00403,6733651.38,598163497.09,40.28,8.5
C00018,6548232.49,604711729.58,40.72,8.67
C00185,6502796.66,611214526.24,41.16,8.83
C00567,6488823.97,617703350.21,41.6,9.0
C00382,6457927.39,624161277.6,42.03,9.17
C00395,6399293.96,630560571.56,42.46,9.33
C00258,6375662.5,636936234.06,42.89,9.5
C00519,6232021.47,643168255.53,43.31,9.67
C00336,6128331.56,649296587.09,43.73,9.83
C00244,6059520.1,655356107.19,44.13,10.0
C00168,6032788.27,661388895.46,44.54,10.17
C00110,6030520.63,667419416.09,44.95,10.33
C00444,5984661.97,673404078.06,45.35,10.5
C00437,5984341.85,679388419.91,45.75,10.67
C00483,5969188.79,685357608.7,46.15,10.83
C00441,5932776.54,691290385.24,46.55,11.0
C00278,5908372.74,697198757.98,46.95,11.17
C00035,5784862.57,702983620.55,47.34,11.33
C00055,5779451.0,708763071.55,47.73,11.5
C00227,5735089.52,714498161.07,48.12,11.67
C00157,5709832.74,720207993.81,48.5,11.83
C00216,5580119.69,725788113.5,48.88,12.0
C00577,5565997.06,731354110.56,49.25,12.17
C00265,5506704.62,736860815.18,49.62,12.33
C00021,5437843.75,742298658.93,49.99,12.5
C00430,5382131.13,747680790.06,50.35,12.67
C00121,5375620.9,753056410.96,50.71,12.83
C00457,5281666.93,758338077.89,51.07,13.0
C00263,5229632.52,763567710.41,51.42,13.17
C00063,5172966.82,768740677.23,51.77,13.33
C00203,5119113.02,773859790.25,52.11,13.5
C00283,5090075.19,778949865.44,52.46,13.67
C00096,4978440.04,783928305.48,52.79,13.83
C00362,4840724.75,788769030.23,53.12,14.0
C00082,4807154.14,793576184.37,53.44,14.17
C00481,4759335.48,798335519.85,53.76,14.33
C00200,4724872.76,803060392.61,54.08,14.5
C00305,4713258.49,807773651.1,54.4,14.67
C00228,4701271.42,812474922.52,54.71,14.83
C00094,4639541.08,817114463.6,55.03,15.0
C00217,4563707.05,821678170.65,55.33,15.17
C00536,4561637.41,826239808.06,55.64,15.33
C00562,4554059.55,830793867.61,55.95,15.5
C00568,4461265.96,835255133.57,56.25,15.67
C00583,4457333.88,839712467.45,56.55,15.83
C00364,4434573.02,844147040.47,56.85,16.0
C00463,4415716.12,848562756.59,57.14,16.17
C00392,4390361.96,852953118.55,57.44,16.33
C00387,4376259.25,857329377.8,57.73,16.5
C00561,4317609.85,861646987.65,58.03,16.67
C00464,4303596.52,865950584.17,58.32,16.83
C00131,4270964.3,870221548.47,58.6,17.0
C00396,4260938.6,874482487.07,58.89,17.17
C00271,4247640.59,878730127.66,59.18,17.33
C00451,4181708.23,882911835.89,59.46,17.5
C00186,4167892.14,887079728.03,59.74,17.67
C00027,4157168.15,891236896.18,60.02,17.83
C00502,4145126.15,895382022.33,60.3,18.0
C00412,4114323.05,899496345.38,60.57,18.17
C00328,4101835.12,903598180.5,60.85,18.33
C00078,4037002.59,907635183.09,61.12,18.5
C00253,4035362.22,911670545.31,61.39,18.67
C00317,3955411.36,915625956.67,61.66,18.83
C00034,3914588.75,919540545.42,61.92,19.0
C00181,3905617.43,923446162.85,62.19,19.17
C00074,3892269.69,927338432.54,62.45,19.33
C00491,3876973.73,931215406.27,62.71,19.5
C00158,3865261.59,935080667.86,62.97,19.67
C00351,3840581.95,938921249.81,63.23,19.83
C00498,3788105.12,942709354.93,63.48,20.0
C00177,3708218.18,946417573.11,63.73,20.17
C00413,3638866.61,950056439.72,63.98,20.33
C00376,3619941.85,953676381.57,64.22,20.5
C00165,3574972.69,957251354.26,64.46,20.67
C00330,3541150.87,960792505.13,64.7,20.83
C00579,3535128.56,964327633.69,64.94,21.0
C00205,3530649.67,967858283.36,65.18,21.17
C00067,3527281.76,971385565.12,65.42,21.33
C00394,3522639.0,974908204.12,65.65,21.5
C00436,3516257.06,978424461.18,65.89,21.67
C00108,3403823.93,981828285.11,66.12,21.83
C00599,3393316.65,985221601.76,66.35,22.0
C00388,3366678.13,988588279.89,66.57,22.17
C00340,3266657.69,991854937.58,66.79,22.33
C00462,3258636.0,995113573.58,67.01,22.5
C00298,3226839.8,998340413.38,67.23,22.67
C00142,3201629.14,1001542042.52,67.45,22.83
C00304,3180952.51,1004722995.03,67.66,23.0
C00493,3176577.15,1007899572.18,67.87,23.17
C00128,3127967.73,1011027539.91,68.09,23.33
C00299,3097312.14,1014124852.05,68.29,23.5
C00321,3081549.63,1017206401.68,68.5,23.67
C00517,3075553.01,1020281954.6899999,68.71,23.83
C00596,3063832.78,1023345787.47,68.91,24.0
C00156,3045299.84,1026391087.31,69.12,24.17
C00194,3042604.37,1029433691.68,69.32,24.33
C00484,2993739.92,1032427431.6,69.53,24.5
C00329,2993355.42,1035420787.02,69.73,24.67
C00319,2982855.86,1038403642.88,69.93,24.83
C00004,2982799.2,1041386442.08,70.13,25.0
C00169,2977214.25,1044363656.33,70.33,25.17
C00172,2958200.67,1047321857.0,70.53,25.33
C00586,2948347.22,1050270204.22,70.73,25.5
C00005,2927310.36,1053197514.58,70.92,25.67
C00379,2915435.83,1056112950.41,71.12,25.83
C00439,2901542.31,1059014492.72,71.32,26.0
C00383,2877778.57,1061892271.29,71.51,26.17
C00267,2843783.8,1064736055.09,71.7,26.33
C00197,2842044.81,1067578099.9,71.89,26.5
C00470,2840386.97,1070418486.87,72.08,26.67
C00245,2796169.03,1073214655.9,72.27,26.83
C00352,2795948.23,1076010604.13,72.46,27.0
C00123,2790730.49,1078801334.62,72.65,27.17
C00122,2789634.77,1081590969.39,72.84,27.33
C00286,2782261.73,1084373231.12,73.02,27.5
C00460,2747598.25,1087120829.37,73.21,27.67
C00589,2743775.07,1089864604.44,73.39,27.83
C00261,2733657.85,1092598262.29,73.58,28.0
C00046,2733322.85,1095331585.14,73.76,28.17
C00102,2723406.92,1098054992.06,73.95,28.33
C00426,2711407.03,1100766399.09,74.13,28.5
C00183,2679951.59,1103446350.68,74.31,28.67
C00449,2660926.72,1106107277.4,74.49,28.83
C00236,2600459.64,1108707737.04,74.66,29.0
C00233,2578970.49,1111286707.53,74.84,29.17
C00288,2551065.55,1113837773.08,75.01,29.33
C00230,2546778.6,1116384551.68,75.18,29.5
C00296,2538278.27,1118922829.95,75.35,29.67
C00574,2520241.26,1121443071.21,75.52,29.83
C00159,2516342.63,1123959413.84,75.69,30.0
C00266,2433086.91,1126392500.75,75.85,30.17
C00086,2401779.61,1128794280.36,76.02,30.33
C00410,2399033.36,1131193313.72,76.18,30.5
C00088,2389221.35,1133582535.07,76.34,30.67
C00153,2389201.69,1135971736.76,76.5,30.83
C00007,2367081.13,1138338817.89,76.66,31.0
C00475,2363875.4,1140702693.29,76.82,31.17
C00356,2342181.47,1143044874.76,76.98,31.33
C00325,2329777.0,1145374651.76,77.13,31.5
C00274,2294438.53,1147669090.29,77.29,31.67
C00434,2285002.95,1149954093.24,77.44,31.83
C00069,2271984.45,1152226077.69,77.59,32.0
C00343,2269180.92,1154495258.61,77.75,32.17
C00119,2233744.11,1156729002.72,77.9,32.33
C00104,2226158.08,1158955160.8,78.05,32.5
C00105,2221249.37,1161176410.17,78.2,32.67
C00547,2217624.95,1163394035.12,78.35,32.83
C00095,2215194.5,1165609229.62,78.5,33.0
C00417,2209954.39,1167819184.01,78.64,33.17
C00339,2203796.47,1170022980.48,78.79,33.33
C00537,2184841.3,1172207821.78,78.94,33.5
C00120,2169497.51,1174377319.29,79.09,33.67
C00151,2160853.65,1176538172.94,79.23,33.83
C00163,2159875.15,1178698048.09,79.38,34.0
C00295,2158549.55,1180856597.64,79.52,34.17
C00355,2157407.26,1183014004.9,79.67,34.33
C00068,2156449.38,1185170454.28,79.81,34.5
C00486,2154069.35,1187324523.63,79.96,34.67
C00202,2146920.95,1189471444.58,80.1,34.83
C00201,2136117.86,1191607562.44,80.25,35.0
C00042,2130530.29,1193738092.73,80.39,35.17
C00375,2110632.42,1195848725.15,80.53,35.33
C00401,2110176.15,1197958901.3,80.67,35.5
C00276,2109645.59,1200068546.89,80.82,35.67
C00590,2078173.42,1202146720.31,80.96,35.83
C00053,2067342.56,1204214062.87,81.09,36.0
C00521,2065467.21,1206279530.08,81.23,36.17
C00472,2039817.65,1208319347.73,81.37,36.33
C00598,2000694.81,1210320042.54,81.51,36.5
C00029,1993683.48,1212313726.02,81.64,36.67
C00247,1990882.37,1214304608.39,81.77,36.83
C00239,1987792.33,1216292400.72,81.91,37.0
C00190,1983392.18,1218275792.9,82.04,37.17
C00113,1973319.69,1220249112.59,82.17,37.33
C00511,1951215.08,1222200327.67,82.31,37.5
C00442,1938087.36,1224138415.03,82.44,37.67
C00406,1931940.29,1226070355.32,82.57,37.83
C00557,1931590.29,1228001945.61,82.7,38.0
C00549,1929126.94,1229931072.55,82.83,38.17
C00346,1912826.38,1231843898.93,82.96,38.33
C00297,1909191.33,1233753090.26,83.08,38.5
C00446,1897348.16,1235650438.42,83.21,38.67
C00354,1883101.76,1237533540.18,83.34,38.83
C00224,1873687.96,1239407228.14,83.46,39.0
C00281,1858683.78,1241265911.92,83.59,39.17
C00524,1857907.44,1243123819.36,83.72,39.33
C00540,1812966.41,1244936785.77,83.84,39.5
C00331,1805911.91,1246742697.68,83.96,39.67
C00273,1805809.28,1248548506.96,84.08,39.83
C00207,1801027.38,1250349534.34,84.2,40.0
C00243,1788341.3,1252137875.64,84.32,40.17
C00353,1781324.06,1253919199.7,84.44,40.33
C00149,1743657.52,1255662857.22,84.56,40.5
C00482,1706716.64,1257369573.86,84.67,40.67
C00584,1705923.91,1259075497.77,84.79,40.83
C00036,1702064.13,1260777561.9,84.9,41.0
C00118,1693462.55,1262471024.45,85.02,41.17
C00223,1691252.97,1264162277.42,85.13,41.33
C00487,1677766.68,1265840044.1,85.24,41.5
C00010,1677276.93,1267517321.03,85.36,41.67
C00061,1668164.65,1269185485.68,85.47,41.83
C00209,1664516.02,1270850001.7,85.58,42.0
C00231,1662637.33,1272512639.03,85.69,42.17
C00220,1653682.9,1274166321.93,85.81,42.33
C00097,1647745.1,1275814067.03,85.92,42.5
C00348,1626757.66,1277440824.69,86.03,42.67
C00214,1626659.17,1279067483.86,86.14,42.83
C00252,1593983.71,1280661467.57,86.24,43.0
C00358,1572616.03,1282234083.6,86.35,43.17
C00505,1571399.39,1283805482.99,86.45,43.33
C00385,1561218.1,1285366701.09,86.56,43.5
C00033,1540081.34,1286906782.43,86.66,43.67
C00510,1536548.99,1288443331.42,86.77,43.83
C00593,1532073.84,1289975405.26,86.87,44.0
C00372,1530271.47,1291505676.73,86.97,44.17
C00019,1520040.45,1293025717.18,87.08,44.33
C00221,1512989.24,1294538706.42,87.18,44.5
C00112,1503975.66,1296042682.08,87.28,44.67
C00280,1502458.36,1297545140.44,87.38,44.83
C00575,1491069.45,1299036209.89,87.48,45.0
C00344,1480005.02,1300516214.91,87.58,45.17
C00515,1479481.12,1301995696.03,87.68,45.33
C00196,1479311.04,1303475007.07,87.78,45.5
C00257,1478954.71,1304953961.78,87.88,45.67
C00572,1445078.1,1306399039.8799999,87.98,45.83
C00409,1437477.59,1307836517.47,88.07,46.0
C00501,1431111.8,1309267629.27,88.17,46.17
C00160,1416247.25,1310683876.52,88.26,46.33
C00465,1412738.48,1312096615.0,88.36,46.5
C00497,1411579.26,1313508194.26,88.45,46.67
C00006,1403797.69,1314911991.95,88.55,46.83
C00259,1403671.55,1316315663.5,88.64,47.0
C00428,1388548.39,1317704211.89,88.74,47.17
C00411,1377827.6,1319082039.49,88.83,47.33
C00143,1373835.46,1320455874.95,88.92,47.5
C00062,1372256.89,1321828131.84,89.02,47.67
C00037,1360729.64,1323188861.48,89.11,47.83
C00127,1344332.4,1324533193.8799999,89.2,48.0
C00058,1342340.44,1325875534.32,89.29,48.17
C00026,1329917.93,1327205452.25,89.38,48.33
C00588,1306045.13,1328511497.3799999,89.47,48.5
C00164,1297736.75,1329809234.1299999,89.55,48.67
C00429,1291078.82,1331100312.95,89.64,48.83
C00558,1281620.75,1332381933.7,89.73,49.0
C00532,1276458.22,1333658391.92,89.81,49.17
C00025,1271509.61,1334929901.53,89.9,49.33
C00199,1268669.34,1336198570.87,89.98,49.5
C00400,1265041.85,1337463612.72,90.07,49.67
C00087,1255762.24,1338719374.96,90.15,49.83
C00587,1255699.98,1339975074.94,90.24,50.0
C00546,1240093.01,1341215167.95,90.32,50.17
C00313,1228890.63,1342444058.58,90.4,50.33
C00324,1223492.61,1343667551.19,90.49,50.5
C00043,1221075.72,1344888626.91,90.57,50.67
C00146,1212034.7,1346100661.61,90.65,50.83
C00378,1185118.46,1347285780.07,90.73,51.0
C00287,1182629.88,1348468409.95,90.81,51.17
C00090,1181356.72,1349649766.67,90.89,51.33
C00489,1175593.97,1350825360.64,90.97,51.5
C00380,1157813.73,1351983174.37,91.05,51.67
C00076,1140664.24,1353123838.61,91.12,51.83
C00219,1138938.92,1354262777.53,91.2,52.0
C00552,1128203.51,1355390981.04,91.28,52.17
C00066,1115442.83,1356506423.87,91.35,52.33
C00167,1110730.23,1357617154.1,91.43,52.5
C00126,1106624.62,1358723778.72,91.5,52.67
C00507,1104495.3,1359828274.02,91.57,52.83
C00389,1098098.8,1360926372.82,91.65,53.0
C00270,1088990.28,1362015363.1,91.72,53.17
C00008,1075118.24,1363090481.34,91.79,53.33
C00064,1073019.89,1364163501.23,91.87,53.5
C00222,1065459.14,1365228960.37,91.94,53.67
C00559,1057584.41,1366286544.78,92.01,53.83
C00360,1056342.21,1367342886.99,92.08,54.0
C00109,1052018.57,1368394905.56,92.15,54.17
C00520,1051941.94,1369446847.5,92.22,54.33
C00473,1047753.47,1370494600.97,92.29,54.5
C00479,1047555.7,1371542156.67,92.36,54.67
C00539,1043228.24,1372585384.91,92.43,54.83
C00136,1040532.78,1373625917.69,92.5,55.0
C00300,1029897.7,1374655815.39,92.57,55.17
C00039,1011531.2,1375667346.59,92.64,55.33
C00485,1002309.27,1376669655.86,92.71,55.5
C00189,987115.49,1377656771.35,92.77,55.67
C00467,984953.9,1378641725.25,92.84,55.83
C00308,967266.67,1379608991.92,92.91,56.0
C00431,962758.15,1380571750.07,92.97,56.17
C00269,959626.46,1381531376.53,93.04,56.33
C00531,959009.16,1382490385.69,93.1,56.5
C00503,950674.53,1383441060.22,93.16,56.67
C00115,939289.73,1384380349.95,93.23,56.83
C00573,934979.29,1385315329.24,93.29,57.0
C00398,932668.22,1386247997.46,93.35,57.17
C00171,930350.01,1387178347.47,93.42,57.33
C00093,930148.37,1388108495.84,93.48,57.5
C00057,916753.66,1389025249.5,93.54,57.67
C00316,911168.96,1389936418.46,93.6,57.83
C00594,902854.39,1390839272.85,93.66,58.0
C00211,902273.17,1391741546.02,93.72,58.17
C00016,897594.41,1392639140.43,93.78,58.33
C00335,894525.36,1393533665.79,93.84,58.5
C00580,892027.52,1394425693.31,93.9,58.67
C00571,887055.4,1395312748.71,93.96,58.83
C00050,879654.85,1396192403.56,94.02,59.0
C00423,873975.21,1397066378.77,94.08,59.17
C00242,870439.03,1397936817.8,94.14,59.33
C00397,869800.23,1398806618.03,94.2,59.5
C00476,861251.87,1399667869.9,94.26,59.67
C00098,850551.35,1400518421.25,94.31,59.83
C00386,841056.37,1401359477.62,94.37,60.0
C00204,841012.46,1402200490.08,94.43,60.17
C00182,832501.43,1403032991.51,94.48,60.33
C00435,818085.31,1403851076.82,94.54,60.5
C00226,803177.87,1404654254.69,94.59,60.67
C00556,796986.55,1405451241.24,94.65,60.83
C00017,796689.03,1406247930.27,94.7,61.0
C00371,796677.76,1407044608.03,94.75,61.17
C00246,792962.95,1407837570.98,94.81,61.33
C00072,790766.46,1408628337.44,94.86,61.5
C00145,786087.04,1409414424.48,94.91,61.67
C00518,765814.42,1410180238.9,94.97,61.83
C00477,764876.23,1410945115.1299999,95.02,62.0
C00175,764435.96,1411709551.09,95.07,62.17
C00526,761071.11,1412470622.2,95.12,62.33
C00496,756447.78,1413227069.98,95.17,62.5
C00318,755273.31,1413982343.29,95.22,62.67
C00147,747977.11,1414730320.4,95.27,62.83
C00254,747445.95,1415477766.35,95.32,63.0
C00155,744904.03,1416222670.3799999,95.37,63.17
C00418,742078.39,1416964748.77,95.42,63.33
C00345,738921.1,1417703669.87,95.47,63.5
C00363,730282.19,1418433952.06,95.52,63.67
C00289,729771.42,1419163723.48,95.57,63.83
C00432,721257.03,1419884980.51,95.62,64.0
C00600,700189.33,1420585169.84,95.67,64.17
C00405,693940.71,1421279110.55,95.71,64.33
C00038,692325.68,1421971436.23,95.76,64.5
C00408,692165.38,1422663601.61,95.81,64.67
C00040,689874.89,1423353476.5,95.85,64.83
C00191,678865.76,1424032342.26,95.9,65.0
C00137,675976.53,1424708318.79,95.94,65.17
C00176,666631.94,1425374950.73,95.99,65.33
C00249,663730.76,1426038681.49,96.03,65.5
C00480,647500.57,1426686182.06,96.08,65.67
C00065,646209.97,1427332392.03,96.12,65.83
C00322,642487.64,1427974879.67,96.16,66.0
C00303,633750.32,1428608629.99,96.21,66.17
C00369,630644.48,1429239274.47,96.25,66.33
C00500,626753.58,1429866028.05,96.29,66.5
C00188,624987.09,1430491015.14,96.33,66.67
C00307,623842.99,1431114858.1299999,96.37,66.83
C00140,603451.0,1431718309.1299999,96.42,67.0
C00585,601251.16,1432319560.29,96.46,67.17
C00031,597022.3,1432916582.59,96.5,67.33
C00251,588502.88,1433505085.47,96.54,67.5
C00415,580137.48,1434085222.95,96.57,67.67
C00011,563041.43,1434648264.3799999,96.61,67.83
C00138,560800.68,1435209065.06,96.65,68.0
C00595,552843.96,1435761909.02,96.69,68.17
C00422,552179.7,1436314088.72,96.72,68.33
C00581,550864.78,1436864953.5,96.76,68.5
C00225,549820.11,1437414773.61,96.8,68.67
C00083,549760.61,1437964534.22,96.84,68.83
C00099,549437.74,1438513971.96,96.87,69.0
C00124,547411.71,1439061383.67,96.91,69.17
C00184,540196.51,1439601580.18,96.95,69.33
C00377,533227.29,1440134807.47,96.98,69.5
C00130,530231.12,1440665038.59,97.02,69.67
C00012,529095.36,1441194133.95,97.05,69.83
C00051,520041.92,1441714175.87,97.09,70.0
C00045,517198.53,1442231374.4,97.12,70.17
C00456,512947.31,1442744321.71,97.16,70.33
C00425,512739.34,1443257061.05,97.19,70.5
C00208,511555.01,1443768616.06,97.23,70.67
C00374,511448.43,1444280064.49,97.26,70.83
C00347,509958.18,1444790022.67,97.3,71.0
C00212,506309.12,1445296331.79,97.33,71.17
C00512,505863.71,1445802195.5,97.36,71.33
C00125,501649.3,1446303844.8,97.4,71.5
C00529,497773.96,1446801618.76,97.43,71.67
C00291,497622.33,1447299241.09,97.46,71.83
C00293,494450.46,1447793691.55,97.5,72.0
C00565,491084.61,1448284776.16,97.53,72.17
C00041,490070.17,1448774846.33,97.56,72.33
C00166,485010.42,1449259856.75,97.6,72.5
C00229,484438.85,1449744295.6,97.63,72.67
C00373,481264.9,1450225560.5,97.66,72.83
C00139,473799.57,1450699360.07,97.69,73.0
C00292,472560.17,1451171920.24,97.73,73.17
C00174,472522.43,1451644442.67,97.76,73.33
C00044,471396.14,1452115838.81,97.79,73.5
C00013,471158.19,1452586997.0,97.82,73.67
C00338,468613.06,1453055610.06,97.85,73.83
C00001,458354.25,1453513964.31,97.88,74.0
C00490,458099.47,1453972063.78,97.91,74.17
C00002,455245.61,1454427309.39,97.94,74.33
C00075,448550.78,1454875860.17,97.97,74.5
C00309,447655.71,1455323515.8799999,98.01,74.67
C00578,446338.33,1455769854.21,98.04,74.83
C00538,440262.31,1456210116.52,98.06,75.0
C00516,434131.9,1456644248.42,98.09,75.17
C00404,402413.74,1457046662.16,98.12,75.33
C00032,401381.85,1457448044.01,98.15,75.5
C00148,400816.46,1457848860.47,98.18,75.67
C00399,399268.3,1458248128.77,98.2,75.83
C00349,399185.58,1458647314.35,98.23,76.0
C00450,394886.45,1459042200.8,98.26,76.17
C00218,392839.31,1459435040.11,98.28,76.33
C00003,392722.45,1459827762.56,98.31,76.5
C00262,385443.57,1460213206.1299999,98.33,76.67
C00454,384297.62,1460597503.75,98.36,76.83
C00570,383672.06,1460981175.81,98.39,77.0
C00060,383550.33,1461364726.14,98.41,77.17
C00591,383194.54,1461747920.68,98.44,77.33
C00548,378196.31,1462126116.99,98.46,77.5
C00421,375073.71,1462501190.7,98.49,77.67
C00419,373954.73,1462875145.43,98.51,77.83
C00359,370117.39,1463245262.82,98.54,78.0
C00508,367537.79,1463612800.61,98.56,78.17
C00192,367097.48,1463979898.09,98.59,78.33
C00367,363368.56,1464343266.65,98.61,78.5
C00275,362728.28,1464705994.93,98.64,78.67
C00306,360680.43,1465066675.36,98.66,78.83
C00566,356793.72,1465423469.08,98.69,79.0
C00528,346806.23,1465770275.31,98.71,79.17
C00445,338359.77,1466108635.08,98.73,79.33
C00499,337877.86,1466446512.94,98.75,79.5
C00084,337309.71,1466783822.65,98.78,79.67
C00554,333952.28,1467117774.93,98.8,79.83
C00047,328533.37,1467446308.3,98.82,80.0
C00332,323052.99,1467769361.29,98.84,80.17
C00133,322981.36,1468092342.65,98.86,80.33
C00073,321616.46,1468413959.11,98.89,80.5
C00213,320381.6,1468734340.71,98.91,80.67
C00433,315910.47,1469050251.18,98.93,80.83
C00235,314062.97,1469364314.15,98.95,81.0
C00368,313023.54,1469677337.69,98.97,81.17
C00551,310806.06,1469988143.75,98.99,81.33
C00461,304678.87,1470292822.62,99.01,81.5
C00522,304249.55,1470597072.17,99.03,81.67
C00210,298877.33,1470895949.5,99.05,81.83
C00427,295126.19,1471191075.69,99.07,82.0
C00107,294357.88,1471485433.57,99.09,82.17
C00173,291900.87,1471777334.44,99.11,82.33
C00541,280620.9,1472057955.34,99.13,82.5
C00452,274895.83,1472332851.17,99.15,82.67
C00350,274664.77,1472607515.94,99.17,82.83
C00494,270490.56,1472878006.5,99.19,83.0
C00301,267704.91,1473145711.41,99.21,83.17
C00089,267234.65,1473412946.06,99.22,83.33
C00315,259738.58,1473672684.64,99.24,83.5
C00468,259265.44,1473931950.08,99.26,83.67
C00564,257936.1,1474189886.18,99.28,83.83
C00302,256436.82,1474446323.0,99.29,84.0
C00333,252651.43,1474698974.43,99.31,84.17
C00534,251459.64,1474950434.07,99.33,84.33
C00015,244536.28,1475194970.35,99.34,84.5
C00085,235598.59,1475430568.94,99.36,84.67
C00092,234208.74,1475664777.68,99.37,84.83
C00455,232988.54,1475897766.22,99.39,85.0
C00459,230729.04,1476128495.26,99.41,85.17
C00150,225403.56,1476353898.82,99.42,85.33
C00170,224039.57,1476577938.39,99.44,85.5
C00365,216861.81,1476794800.2,99.45,85.67
C00582,216277.27,1477011077.47,99.47,85.83
C00284,210809.76,1477221887.23,99.48,86.0
C00563,210443.95,1477432331.18,99.49,86.17
C00237,207005.63,1477639336.81,99.51,86.33
C00453,203233.21,1477842570.02,99.52,86.5
C00141,200182.25,1478042752.27,99.54,86.67
C00342,196678.37,1478239430.64,99.55,86.83
C00320,196363.74,1478435794.3799999,99.56,87.0
C00195,190718.65,1478626513.03,99.57,87.17
C00179,189922.09,1478816435.12,99.59,87.33
C00294,187982.0,1479004417.12,99.6,87.5
C00152,186854.5,1479191271.62,99.61,87.67
C00256,184373.01,1479375644.6299999,99.62,87.83
C00334,184312.45,1479559957.08,99.64,88.0
C00542,183866.68,1479743823.76,99.65,88.17
C00135,181373.98,1479925197.74,99.66,88.33
C00597,177526.45,1480102724.19,99.67,88.5
C00260,175339.86,1480278064.05,99.69,88.67
C00384,165700.71,1480443764.76,99.7,88.83
C00514,159891.46,1480603656.22,99.71,89.0
C00504,158548.53,1480762204.75,99.72,89.17
C00022,156600.69,1480918805.44,99.73,89.33
C00391,146173.36,1481064978.8,99.74,89.5
C00162,140663.12,1481205641.92,99.75,89.67
C00326,138806.13,1481344448.05,99.76,89.83
C00101,134767.81,1481479215.86,99.77,90.0
C00555,129679.67,1481608895.53,99.78,90.17
C00506,127654.64,1481736550.17,99.78,90.33
C00447,125962.13,1481862512.3,99.79,90.5
C00241,125420.62,1481987932.92,99.8,90.67
C00144,123829.37,1482111762.29,99.81,90.83
C00407,121711.43,1482233473.72,99.82,91.0
C00116,112087.38,1482345561.1,99.82,91.17
C00187,109445.16,1482455006.26,99.83,91.33
C00023,106125.12,1482561131.3799999,99.84,91.5
C00478,103850.09,1482664981.47,99.85,91.67
C00381,101341.67,1482766323.14,99.85,91.83
C00081,101333.59,1482867656.73,99.86,92.0
C00523,98562.21,1482966218.94,99.87,92.17
C00285,96922.31,1483063141.25,99.87,92.33
C00028,95830.43,1483158971.68,99.88,92.5
C00100,93811.85,1483252783.53,99.89,92.67
C00056,92949.6,1483345733.1299999,99.89,92.83
C00277,84822.55,1483430555.68,99.9,93.0
C00161,82668.84,1483513224.52,99.9,93.17
C00466,81015.52,1483594240.04,99.91,93.33
C00154,79438.64,1483673678.68,99.91,93.5
C00279,74958.75,1483748637.43,99.92,93.67
C00550,71878.28,1483820515.71,99.92,93.83
C00370,71173.09,1483891688.8,99.93,94.0
C00495,68542.57,1483960231.37,99.93,94.17
C00180,63303.45,1484023534.82,99.94,94.33
C00592,62473.94,1484086008.76,99.94,94.5
C00312,61568.86,1484147577.62,99.95,94.67
C00234,58557.44,1484206135.06,99.95,94.83
C00402,56714.8,1484262849.86,99.95,95.0
