customer_id,first_category,last_category,category_shift
C00258,Grocery,Grocery,No
C00259,Electronics,Clothing,Yes
C00260,Grocery,Books,Yes
C00261,Home,Electronics,Yes
C00262,Home,Clothing,Yes
C00263,Electronics,Beauty,Yes
C00264,Electronics,Books,Yes
C00265,Clothing,Clothing,No
C00266,Books,Home,Yes
C00267,Beauty,Home,Yes
C00268,Electronics,Electronics,No
C00269,Electronics,Clothing,Yes
C00270,Electronics,Books,Yes
C00271,Sports,Clothing,Yes
C00272,Clothing,Clothing,No
C00273,Clothing,Electronics,Yes
C00274,Grocery,Electronics,Yes
C00275,Clothing,Electronics,Yes
C00276,Clothing,Clothing,No
C00277,Clothing,Clothing,No
C00278,Home,Home,No
C00279,Electronics,Electronics,No
C00280,Home,Clothing,Yes
C00281,Electronics,Grocery,Yes
C00282,Grocery,Grocery,No
C00283,Electronics,Clothing,Yes
C00284,Electronics,Grocery,Yes
C00285,Clothing,Home,Yes
C00286,Clothing,Electronics,Yes
C00287,Electronics,Electronics,No
C00288,Electronics,Electronics,No
C00289,Home,Electronics,Yes
C00290,Clothing,Clothing,No
C00291,Grocery,Grocery,No
C00292,Electronics,Clothing,Yes
C00293,Clothing,Clothing,No
C00294,Electronics,Electronics,No
C00295,Electronics,Beauty,Yes
C00296,Electronics,Clothing,Yes
C00297,Clothing,Electronics,Yes
C00298,Beauty,Clothing,Yes
C00299,Clothing,Books,Yes
C00300,Books,Electronics,Yes
C00301,Electronics,Electronics,No
C00302,Electronics,Electronics,No
C00303,Grocery,Grocery,No
C00304,Electronics,Electronics,No
C00305,Electronics,Clothing,Yes
C00306,Grocery,Clothing,Yes
C00307,Home,Books,Yes
C00308,Home,Sports,Yes
C00309,Clothing,Clothing,No
C00310,Clothing,Electronics,Yes
C00311,Electronics,Electronics,No
C00312,Home,Clothing,Yes
C00313,Books,Electronics,Yes
C00314,Sports,Sports,No
C00315,Clothing,Clothing,No
C00316,Grocery,Sports,Yes
C00317,Electronics,Electronics,No
C00318,Home,Home,No
C00319,Grocery,Clothing,Yes
C00320,Electronics,Electronics,No
C00321,Electronics,Home,Yes
C00322,Electronics,Electronics,No
C00323,Clothing,Clothing,No
C00324,Home,Home,No
C00325,Clothing,Clothing,No
C00326,Home,Clothing,Yes
C00327,Electronics,Sports,Yes
C00328,Books,Home,Yes
C00329,Home,Books,Yes
C00330,Books,Grocery,Yes
C00331,Clothing,Sports,Yes
C00332,Electronics,Home,Yes
C00333,Electronics,Clothing,Yes
C00334,Home,Clothing,Yes
C00335,Clothing,Home,Yes
C00336,Clothing,Home,Yes
C00337,Home,Home,No
C00338,Clothing,Sports,Yes
C00339,Beauty,Electronics,Yes
C00340,Books,Sports,Yes
C00341,Books,Books,No
C00342,Books,Electronics,Yes
C00343,Electronics,Grocery,Yes
C00344,Grocery,Electronics,Yes
C00345,Books,Clothing,Yes
C00346,Books,Home,Yes
C00347,Books,Sports,Yes
C00348,Clothing,Electronics,Yes
C00349,Clothing,Clothing,No
C00350,Clothing,Clothing,No
C00351,Sports,Books,Yes
C00352,Electronics,Clothing,Yes
C00353,Home,Electronics,Yes
C00354,Books,Beauty,Yes
C00355,Electronics,Beauty,Yes
C00356,Home,Electronics,Yes
C00357,Electronics,Clothing,Yes
C00358,Electronics,Sports,Yes
C00359,Electronics,Sports,Yes
C00360,Clothing,Electronics,Yes
C00361,Electronics,Clothing,Yes
C00362,Electronics,Clothing,Yes
C00363,Electronics,Beauty,Yes
C00364,Electronics,Clothing,Yes
C00365,Electronics,Beauty,Yes
C00366,Clothing,Clothing,No
C00367,Clothing,Clothing,No
C00368,Clothing,Electronics,Yes
C00369,Clothing,Electronics,Yes
C00370,Electronics,Electronics,No
C00371,Home,Home,No
C00372,Grocery,Electronics,Yes
C00373,Electronics,Electronics,No
C00374,Clothing,Electronics,Yes
C00375,Clothing,Clothing,No
C00376,Clothing,Clothing,No
C00377,Clothing,Home,Yes
C00378,Sports,Sports,No
C00379,Clothing,Grocery,Yes
C00380,Electronics,Electronics,No
C00381,Books,Beauty,Yes
C00382,Sports,Clothing,Yes
C00383,Home,Grocery,Yes
C00384,Books,Books,No
C00385,Clothing,Electronics,Yes
C00386,Electronics,Electronics,No
C00387,Electronics,Electronics,No
C00388,Books,Books,No
C00389,Electronics,Clothing,Yes
C00390,Home,Home,No
C00391,Home,Home,No
C00392,Clothing,Electronics,Yes
C00393,Clothing,Home,Yes
C00394,Clothing,Electronics,Yes
C00395,Books,Books,No
C00396,Electronics,Sports,Yes
C00397,Electronics,Beauty,Yes
C00398,Clothing,Sports,Yes
C00399,Electronics,Home,Yes
C00400,Electronics,Electronics,No
C00401,Home,Electronics,Yes
C00402,Books,Books,No
C00403,Books,Clothing,Yes
C00404,Clothing,Home,Yes
C00405,Electronics,Electronics,No
C00406,Clothing,Electronics,Yes
C00407,Clothing,Grocery,Yes
C00408,Grocery,Grocery,No
C00409,Clothing,Beauty,Yes
C00410,Home,Home,No
C00411,Home,Electronics,Yes
C00412,Home,Home,No
C00413,Clothing,Clothing,No
C00414,Home,Electronics,Yes
C00415,Electronics,Electronics,No
C00416,Books,Books,No
C00417,Sports,Electronics,Yes
C00418,Clothing,Clothing,No
C00419,Clothing,Home,Yes
C00420,Sports,Grocery,Yes
C00421,Grocery,Clothing,Yes
C00422,Sports,Electronics,Yes
C00423,Electronics,Electronics,No
C00424,Home,Electronics,Yes
C00425,Clothing,Clothing,No
C00426,Home,Home,No
C00427,Home,Electronics,Yes
C00428,Clothing,Sports,Yes
C00429,Home,Electronics,Yes
C00430,Home,Home,No
C00431,Grocery,Clothing,Yes
C00432,Clothing,Electronics,Yes
C00433,Electronics,Home,Yes
C00434,Grocery,Electronics,Yes
C00435,Electronics,Books,Yes
C00436,Clothing,Electronics,Yes
C00437,Clothing,Grocery,Yes
C00438,Clothing,Clothing,No
C00439,Clothing,Home,Yes
C00440,Clothing,Clothing,No
C00441,Electronics,Electronics,No
C00442,Home,Home,No
C00443,Electronics,Books,Yes
C00444,Electronics,Electronics,No
C00445,Books,Grocery,Yes
C00446,Electronics,Clothing,Yes
C00447,Home,Home,No
C00448,Grocery,Clothing,Yes
C00449,Clothing,Home,Yes
C00450,Home,Home,No
C00451,Clothing,Electronics,Yes
C00452,Home,Home,No
C00453,Grocery,Clothing,Yes
C00454,Clothing,Grocery,Yes
C00455,Grocery,Clothing,Yes
C00456,Grocery,Grocery,No
C00457,Clothing,Electronics,Yes
C00458,Clothing,Electronics,Yes
C00459,Electronics,Electronics,No
C00460,Grocery,Electronics,Yes
C00461,Electronics,Electronics,No
C00462,Home,Clothing,Yes
C00463,Electronics,Electronics,No
C00464,Home,Grocery,Yes
C00465,Grocery,Clothing,Yes
C00466,Grocery,Grocery,No
C00467,Home,Electronics,Yes
C00468,Clothing,Beauty,Yes
C00469,Books,Home,Yes
C00470,Home,Home,No
C00471,Clothing,Grocery,Yes
C00472,Home,Electronics,Yes
C00473,Clothing,Electronics,Yes
C00474,Electronics,Home,Yes
C00475,Electronics,Home,Yes
C00476,Clothing,Clothing,No
C00477,Electronics,Electronics,No
C00478,Grocery,Grocery,No
C00479,Electronics,Electronics,No
C00480,Beauty,Beauty,No
C00481,Home,Beauty,Yes
C00482,Grocery,Grocery,No
C00483,Home,Home,No
C00484,Clothing,Electronics,Yes
C00485,Books,Sports,Yes
C00486,Electronics,Clothing,Yes
C00487,Clothing,Grocery,Yes
C00488,Home,Grocery,Yes
C00489,Home,Clothing,Yes
C00490,Electronics,Electronics,No
C00491,Electronics,Electronics,No
C00492,Home,Home,No
C00493,Electronics,Electronics,No
C00494,Grocery,Grocery,No
C00495,Home,Grocery,Yes
C00496,Clothing,Electronics,Yes
C00497,Home,Home,No
C00498,Clothing,Clothing,No
C00499,Books,Electronics,Yes
C00500,Clothing,Clothing,No
C00501,Electronics,Beauty,Yes
C00502,Electronics,Beauty,Yes
C00503,Sports,Electronics,Yes
C00504,Books,Sports,Yes
C00505,Home,Electronics,Yes
C00506,Beauty,Sports,Yes
C00507,Clothing,Home,Yes
C00508,Home,Home,No
C00509,Grocery,Grocery,No
C00510,Home,Grocery,Yes
C00511,Electronics,Electronics,No
C00512,Electronics,Electronics,No
C00513,Electronics,Electronics,No
C00514,Books,Home,Yes
C00515,Home,Electronics,Yes
C00516,Clothing,Clothing,No
C00517,Home,Beauty,Yes
C00518,Electronics,Electronics,No
C00519,Clothing,Sports,Yes
C00520,Electronics,Home,Yes
C00521,Clothing,Sports,Yes
C00522,Books,Books,No
C00523,Books,Grocery,Yes
C00524,Electronics,Electronics,No
C00525,Clothing,Clothing,No
C00526,Electronics,Electronics,No
C00527,Books,Books,No
C00528,Beauty,Home,Yes
C00529,Home,Home,No
C00530,Books,Books,No
C00531,Electronics,Electronics,No
C00532,Clothing,Home,Yes
C00533,Books,Books,No
C00534,Grocery,Home,Yes
C00535,Electronics,Electronics,No
C00536,Books,Electronics,Yes
C00537,Electronics,Electronics,No
C00538,Beauty,Clothing,Yes
C00539,Clothing,Home,Yes
C00540,Books,Clothing,Yes
C00541,Electronics,Electronics,No
C00542,Clothing,Home,Yes
C00543,Electronics,Electronics,No
C00544,Sports,Sports,No
C00545,Grocery,Grocery,No
C00546,Clothing,Grocery,Yes
C00547,Home,Electronics,Yes
C00548,Clothing,Home,Yes
C00549,Home,Home,No
C00550,Clothing,Beauty,Yes
C00551,Clothing,Beauty,Yes
C00552,Books,Electronics,Yes
C00553,Clothing,Grocery,Yes
C00554,Home,Home,No
C00555,Home,Home,No
C00556,Beauty,Electronics,Yes
C00557,Clothing,Beauty,Yes
C00558,Beauty,Home,Yes
C00559,Electronics,Beauty,Yes
C00560,Sports,Grocery,Yes
C00561,Electronics,Clothing,Yes
C00562,Electronics,Home,Yes
C00563,Home,Grocery,Yes
C00564,Home,Grocery,Yes
C00565,Electronics,Clothing,Yes
C00566,Electronics,Electronics,No
C00567,Home,Clothing,Yes
C00568,Beauty,Clothing,Yes
C00569,Books,Clothing,Yes
C00570,Clothing,Clothing,No
C00571,Beauty,Clothing,Yes
C00572,Home,Clothing,Yes
C00573,Electronics,Electronics,No
C00574,Electronics,Electronics,No
C00575,Electronics,Electronics,No
C00576,Home,Electronics,Yes
C00577,Clothing,Books,Yes
C00578,Electronics,Clothing,Yes
C00579,Home,Home,No
C00580,Electronics,Electronics,No
C00581,Clothing,Home,Yes
C00582,Clothing,Clothing,No
C00583,Grocery,Home,Yes
C00584,Electronics,Grocery,Yes
C00585,Clothing,Clothing,No
C00586,Electronics,Grocery,Yes
C00587,Clothing,Home,Yes
C00588,Home,Sports,Yes
C00589,Home,Clothing,Yes
C00590,Clothing,Books,Yes
C00591,Clothing,Clothing,No
C00592,Grocery,Grocery,No
C00593,Electronics,Beauty,Yes
C00594,Grocery,Clothing,Yes
C00595,Home,Electronics,Yes
C00596,Grocery,Books,Yes
C00597,Electronics,Beauty,Yes
C00598,Clothing,Home,Yes
C00599,Clothing,Electronics,Yes
C00600,Clothing,Electronics,Yes
