order_id,customer_id,calculated_revenue,payment_amount,revenue_difference
17527,1707,11443.1000,1285.3100,10157.7900
13824,1843,10495.3500,342.7000,10152.6500
319,1380,10495.3500,378.2900,10117.0600
8541,1737,10789.3000,687.1600,10102.1400
17215,162,10789.3000,695.1300,10094.1700
12448,519,10078.5500,null,10078.5500
16328,1103,10078.5500,null,10078.5500
7709,991,10495.3500,424.3000,10071.0500
13579,707,10180.6500,137.7800,10042.8700
18862,147,10180.6500,145.8900,10034.7600
4013,1350,10180.6500,153.4200,10027.2300
4487,130,10180.6500,153.8700,10026.7800
19815,479,10179.2000,156.1800,10023.0200
5790,1430,10495.3500,477.1000,10018.2500
322,805,11443.1000,1432.3800,10010.7200
822,1628,10179.2000,169.4000,10009.8000
12285,1316,10825.2000,817.6500,10007.5500
4006,1662,10004.2500,null,10004.2500
12488,1356,10004.2500,null,10004.2500
18313,352,10004.2500,null,10004.2500
8620,1080,10004.2500,null,10004.2500
18326,869,10004.2500,null,10004.2500
4417,897,11385.1500,1384.0600,10001.0900
11569,139,11385.1500,1389.2500,9995.9000
13158,1799,11385.1500,1394.7900,9990.3600
10417,119,10789.3000,805.9600,9983.3400
1899,399,10495.3500,514.0200,9981.3300
11858,1434,10179.2000,201.4100,9977.7900
3896,558,10078.5500,104.2200,9974.3300
10718,105,10179.2000,220.5300,9958.6700
2100,1404,10180.6500,223.4600,9957.1900
15321,1813,11443.1000,1493.9700,9949.1300
444,257,10180.6500,233.0400,9947.6100
10765,156,10180.6500,236.0900,9944.5600
10871,575,11385.1500,1441.0300,9944.1200
1033,1112,10078.5500,145.0600,9933.4900
2736,489,10495.3500,569.8000,9925.5500
9567,220,10180.6500,256.9300,9923.7200
11236,1926,10078.5500,155.4600,9923.0900
16560,1357,10179.2000,260.8100,9918.3900
158,1841,11443.1000,1526.3500,9916.7500
16778,255,10078.5500,163.6800,9914.8700
11251,1381,10495.3500,587.0800,9908.2700
2865,828,10825.2000,921.2100,9903.9900
9906,166,10825.2000,921.9200,9903.2800
11426,1122,10825.2000,925.8900,9899.3100
14299,977,10179.2000,280.2700,9898.9300
3375,1021,10825.2000,927.9000,9897.3000
10076,327,10789.3000,905.3600,9883.9400
19714,377,10825.2000,974.3700,9850.8300
8418,349,11385.1500,1537.2900,9847.8600
4129,1494,10495.3500,650.3400,9845.0100
10484,1989,10180.6500,338.6600,9841.9900
1373,49,10179.2000,354.9500,9824.2500
9138,1837,11385.1500,1569.8600,9815.2900
3432,565,10789.3000,980.2200,9809.0800
4477,85,10789.3000,982.7600,9806.5400
15961,1907,11385.1500,1579.2900,9805.8600
19030,352,10179.2000,388.5900,9790.6100
19934,1272,10180.6500,403.1700,9777.4800
12365,1337,10825.2000,1052.1300,9773.0700
2484,972,11443.1000,1677.0500,9766.0500
19576,1271,10180.6500,418.4900,9762.1600
11425,1182,10004.2500,257.0200,9747.2300
19994,101,10180.6500,434.1100,9746.5400
3889,1719,10495.3500,768.8200,9726.5300
12700,375,10179.2000,459.8600,9719.3400
18956,1460,11385.1500,1667.6000,9717.5500
6893,646,10179.2000,464.7800,9714.4200
1377,1341,10789.3000,1080.3600,9708.9400
9038,1940,11443.1000,1741.4000,9701.7000
14573,1270,10179.2000,485.9100,9693.2900
15280,198,10004.2500,312.0000,9692.2500
18051,918,10179.2000,489.0800,9690.1200
9712,1562,10825.2000,1162.7200,9662.4800
9726,304,10180.6500,519.4800,9661.1700
18829,38,10180.6500,523.5100,9657.1400
7274,954,10825.2000,1168.8300,9656.3700
7962,677,10789.3000,1134.4400,9654.8600
7961,1649,10179.2000,531.3600,9647.8400
11294,1310,10180.6500,538.4300,9642.2200
10108,1544,11385.1500,1744.4300,9640.7200
14988,722,10789.3000,1156.1800,9633.1200
6605,685,10180.6500,567.0900,9613.5600
15462,1634,11385.1500,1774.4100,9610.7400
15899,1400,10825.2000,1214.5900,9610.6100
1460,1146,10789.3000,1180.2500,9609.0500
10407,894,10078.5500,473.3000,9605.2500
5298,1387,10004.2500,406.5300,9597.7200
19618,1783,10825.2000,1229.7000,9595.5000
14907,52,10495.3500,900.9200,9594.4300
11242,1073,9578.7500,null,9578.7500
18243,1075,9578.7500,null,9578.7500
15705,1736,9578.7500,null,9578.7500
18174,1598,10078.5500,511.4700,9567.0800
19647,299,10078.5500,513.6900,9564.8600
6214,1086,11443.1000,1879.7600,9563.3400
7295,494,10078.5500,520.8200,9557.7300
2534,490,10789.3000,1251.6400,9537.6600
580,1646,10825.2000,1289.3900,9535.8100
13337,1176,10078.5500,551.8700,9526.6800
5126,1980,10789.3000,1266.8400,9522.4600
8161,1211,10004.2500,486.6900,9517.5600
17529,1668,10078.5500,570.3200,9508.2300
18248,1106,10078.5500,573.4300,9505.1200
9358,665,11443.1000,1942.3900,9500.7100
12751,1087,10179.2000,689.3400,9489.8600
7682,751,10078.5500,605.2800,9473.2700
11458,1636,10078.5500,620.8600,9457.6900
5415,272,10078.5500,621.5000,9457.0500
15105,1895,10180.6500,732.0600,9448.5900
16025,323,10825.2000,1382.9700,9442.2300
12588,269,10078.5500,638.7800,9439.7700
16110,1289,10004.2500,579.1400,9425.1100
379,852,10789.3000,1368.1700,9421.1300
17184,346,10825.2000,1405.3500,9419.8500
11121,571,10004.2500,588.9000,9415.3500
3295,1664,10180.6500,768.3500,9412.3000
590,1105,9578.7500,167.8200,9410.9300
6938,354,9578.7500,169.8800,9408.8700
17326,1495,10180.6500,772.9400,9407.7100
6457,1620,10179.2000,774.6500,9404.5500
13669,38,10078.5500,681.3700,9397.1800
7567,1712,9578.7500,185.5300,9393.2200
9850,1932,10825.2000,1447.3400,9377.8600
17340,551,9578.7500,201.4100,9377.3400
10640,1252,9578.7500,202.1900,9376.5600
3131,1649,10078.5500,708.2800,9370.2700
18782,541,10825.2000,1460.5100,9364.6900
7133,1009,10180.6500,817.8700,9362.7800
3678,886,10495.3500,1135.4600,9359.8900
9755,1884,10078.5500,733.3700,9345.1800
15588,985,10825.2000,1490.0900,9335.1100
10816,273,9578.7500,246.5300,9332.2200
880,659,10004.2500,672.1500,9332.1000
18494,673,10180.6500,869.3000,9311.3500
12219,1047,9578.7500,269.3600,9309.3900
17768,881,10179.2000,869.9100,9309.2900
12319,620,10179.2000,870.6400,9308.5600
4227,71,9578.7500,271.2500,9307.5000
11696,642,10789.3000,1497.0200,9292.2800
4844,379,10004.2500,725.4200,9278.8300
9830,1225,9276.8500,null,9276.8500
13446,814,9276.8500,null,9276.8500
5816,1688,9276.8500,null,9276.8500
18865,1545,9276.8500,null,9276.8500
14539,1254,9276.8500,null,9276.8500
11961,1590,9578.7500,315.2400,9263.5100
10441,1767,9578.7500,322.5100,9256.2400
19159,1989,10825.2000,1578.7800,9246.4200
5346,421,10495.3500,1251.3000,9244.0500
19817,743,10078.5500,840.2600,9238.2900
3963,1251,10078.5500,842.4400,9236.1100
11320,337,10179.2000,943.6800,9235.5200
4879,889,10004.2500,775.1900,9229.0600
9277,842,10078.5500,853.0200,9225.5300
2603,851,10825.2000,1606.7500,9218.4500
8202,332,9578.7500,362.5900,9216.1600
14494,1276,10004.2500,793.3500,9210.9000
7263,486,10825.2000,1621.9600,9203.2400
15365,1348,10004.2500,801.0900,9203.1600
521,785,10825.2000,1623.4600,9201.7400
4045,433,10179.2000,977.6500,9201.5500
19809,774,10495.3500,1295.4900,9199.8600
5942,1386,10078.5500,882.9500,9195.6000
10360,1986,10495.3500,1302.1000,9193.2500
15525,50,10179.2000,991.6400,9187.5600
18411,516,9185.6000,null,9185.6000
13381,649,9185.6000,null,9185.6000
9041,119,9185.6000,null,9185.6000
2308,1577,9185.6000,null,9185.6000
10126,872,9185.6000,null,9185.6000
4925,79,9185.6000,null,9185.6000
18086,1178,9185.6000,null,9185.6000
16118,502,9578.7500,400.0600,9178.6900
3041,1357,10789.3000,1621.8400,9167.4600
3270,220,10495.3500,1335.6000,9159.7500
18986,1883,9154.4800,null,9154.4800
12993,657,9276.8500,124.8600,9151.9900
15465,1836,10179.2000,1028.9400,9150.2600
1080,236,9276.8500,132.9100,9143.9400
5058,664,10180.6500,1042.8500,9137.8000
15968,39,10078.5500,943.7700,9134.7800
2557,1178,9578.7500,451.4800,9127.2700
9112,126,10179.2000,1053.5500,9125.6500
3632,843,10825.2000,1702.3200,9122.8800
128,54,9108.1200,null,9108.1200
2794,729,9108.1200,null,9108.1200
15800,909,9100.2500,null,9100.2500
12410,953,10495.3500,1396.6300,9098.7200
7270,1510,10180.6500,1085.4900,9095.1600
15619,1357,10789.3000,1695.6500,9093.6500
3406,224,9578.7500,487.0800,9091.6700
12340,1370,9578.7500,488.3300,9090.4200
3845,1120,10004.2500,924.2900,9079.9600
11232,906,10179.2000,1100.4400,9078.7600
1138,719,10789.3000,1711.6300,9077.6700
5478,691,10495.3500,1420.1900,9075.1600
93,57,10495.3500,1420.4600,9074.8900
11277,857,9276.8500,213.8700,9062.9800
1760,1270,9578.7500,518.4600,9060.2900
5627,543,9185.6000,135.1300,9050.4700
18867,1668,9154.4800,112.3900,9042.0900
5064,164,9276.8500,238.1900,9038.6600
13548,253,10825.2000,1788.9300,9036.2700
10791,1963,9185.6000,161.0200,9024.5800
14526,913,10180.6500,1161.1700,9019.4800
17542,862,10179.2000,1161.3600,9017.8400
8946,1995,10825.2000,1811.9800,9013.2200
14580,221,10825.2000,1813.8200,9011.3800
11095,856,9011.3000,null,9011.3000
5879,747,9011.3000,null,9011.3000
472,1472,10004.2500,993.9900,9010.2600
6715,1243,9578.7500,571.0100,9007.7400
11796,1637,9100.2500,111.3900,8988.8600
17079,1235,10180.6500,1194.9300,8985.7200
17784,1270,9276.8500,291.8800,8984.9700
19001,1927,10495.3500,1513.8000,8981.5500
6753,188,10825.2000,1846.8900,8978.3100
17965,1960,8977.2500,null,8977.2500
18660,707,8977.2500,null,8977.2500
2458,344,8977.2500,null,8977.2500
10255,1311,9185.6000,216.8500,8968.7500
7807,233,9185.6000,218.2900,8967.3100
2186,987,10078.5500,1111.2700,8967.2800
6501,691,9100.2500,137.6200,8962.6300
8787,963,8959.7000,null,8959.7000
2174,987,8959.7000,null,8959.7000
13539,1080,8959.7000,null,8959.7000
16705,36,10180.6500,1221.7000,8958.9500
16077,1321,9108.1200,150.8900,8957.2300
7449,1201,9276.8500,321.6000,8955.2500
14115,521,9154.4800,215.8800,8938.6000
16463,39,8936.9500,null,8936.9500
684,1693,8936.9500,null,8936.9500
7253,1952,8936.9500,null,8936.9500
6985,1185,8936.9500,null,8936.9500
19280,340,8936.9500,null,8936.9500
2703,842,8936.9500,null,8936.9500
9306,1438,9100.2500,166.0700,8934.1800
6854,1823,9276.8500,343.3100,8933.5400
16275,550,9185.6000,259.7800,8925.8200
19923,1515,10789.3000,1872.2400,8917.0600
15148,712,9578.7500,665.3000,8913.4500
4942,1135,10495.3500,1582.5500,8912.8000
7874,831,8907.9500,null,8907.9500
14508,423,8907.9500,null,8907.9500
18082,1392,9185.6000,283.9800,8901.6200
1582,1401,10789.3000,1890.2700,8899.0300
13454,862,10078.5500,1180.8900,8897.6600
15000,202,10495.3500,1597.8300,8897.5200
19621,816,9100.2500,207.1500,8893.1000
6993,392,10789.3000,1897.1500,8892.1500
3253,1608,10495.3500,1607.1000,8888.2500
183,156,9185.6000,303.5300,8882.0700
6976,275,9108.1200,229.2700,8878.8500
13349,1699,10004.2500,1127.1600,8877.0900
992,89,9100.2500,224.7200,8875.5300
17553,782,9108.1200,232.7700,8875.3500
4626,1991,9578.7500,707.3500,8871.4000
11810,1964,8977.2500,112.4400,8864.8100
12040,631,10495.3500,1635.1400,8860.2100
17639,827,9154.4800,296.5100,8857.9700
11180,931,9154.4800,296.6100,8857.8700
9259,722,9185.6000,332.9600,8852.6400
6365,461,8977.2500,126.9000,8850.3500
4509,292,9276.8500,429.4100,8847.4400
11074,360,9011.3000,164.7200,8846.5800
1390,1767,9011.3000,167.3600,8843.9400
6056,568,10180.6500,1337.8000,8842.8500
8075,1376,9578.7500,737.6300,8841.1200
2698,1377,9578.7500,745.2300,8833.5200
9466,1883,9100.2500,274.0600,8826.1900
17806,598,8823.6000,null,8823.6000
11800,516,8823.6000,null,8823.6000
2270,166,8823.6000,null,8823.6000
5229,1581,10495.3500,1682.1800,8813.1700
9817,1511,10078.5500,1265.5400,8813.0100
19357,849,10789.3000,1980.5800,8808.7200
78,1912,8808.2000,null,8808.2000
5865,1554,8808.2000,null,8808.2000
9779,668,8808.2000,null,8808.2000
3106,998,8808.2000,null,8808.2000
6738,114,8959.7000,152.0700,8807.6300
6418,1788,8907.9500,102.1200,8805.8300
2448,1227,10078.5500,1273.2100,8805.3400
2931,847,10495.3500,1690.7600,8804.5900
7185,573,8907.9500,105.3000,8802.6500
9478,145,10789.3000,1990.4500,8798.8500
1097,629,9100.2500,301.6100,8798.6400
18000,1850,10789.3000,1993.6500,8795.6500
16466,1723,10495.3500,1705.0100,8790.3400
13744,68,9578.7500,793.3600,8785.3900
3032,1810,10495.3500,1720.5800,8774.7700
7714,1502,10078.5500,1307.9200,8770.6300
10652,1910,9108.1200,342.8400,8765.2800
4749,19,10180.6500,1416.5200,8764.1300
9568,1359,10180.6500,1429.1000,8751.5500
5610,1534,9578.7500,831.0200,8747.7300
11639,773,10180.6500,1435.3400,8745.3100
9979,1041,8977.2500,234.3400,8742.9100
17678,1160,10180.6500,1443.0100,8737.6400
1847,546,9154.4800,422.1700,8732.3100
9796,1762,10004.2500,1272.6300,8731.6200
1963,1516,10004.2500,1278.3400,8725.9100
81,1493,10179.2000,1460.9700,8718.2300
712,1132,9011.3000,295.1000,8716.2000
16043,900,9100.2500,388.5100,8711.7400
19358,138,8823.6000,113.1800,8710.4200
15840,948,9108.1200,397.9000,8710.2200
5436,1515,10179.2000,1471.8700,8707.3300
1249,492,8907.9500,210.7800,8697.1700
9610,323,10179.2000,1483.1700,8696.0300
18612,1660,10495.3500,1800.3200,8695.0300
2734,572,8693.0500,null,8693.0500
16427,430,10078.5500,1386.7500,8691.8000
15044,1597,8907.9500,220.6100,8687.3400
2193,1530,9108.1200,422.6300,8685.4900
4769,1195,9154.4800,470.5500,8683.9300
3072,1423,9108.1200,424.3200,8683.8000
9072,426,9154.4800,470.8100,8683.6700
4839,626,8977.2500,294.0300,8683.2200
14504,247,10180.6500,1499.1400,8681.5100
6521,78,8959.7000,287.6900,8672.0100
12041,1716,10078.5500,1409.0200,8669.5300
10946,1151,10495.3500,1826.3200,8669.0300
14830,958,8959.7000,291.0600,8668.6400
7477,1519,9100.2500,433.7900,8666.4600
18029,1864,8907.9500,241.6300,8666.3200
71,1966,10078.5500,1414.5300,8664.0200
16261,1812,8936.9500,275.8500,8661.1000
5736,711,10495.3500,1834.6000,8660.7500
7869,683,8660.1600,null,8660.1600
18330,1923,8660.1600,null,8660.1600
15991,1904,8660.1600,null,8660.1600
3736,1568,8959.7000,305.0600,8654.6400
16833,1744,8936.9500,284.2100,8652.7400
10613,640,8936.9500,287.9600,8648.9900
19135,1733,9011.3000,373.5400,8637.7600
4869,722,10495.3500,1858.0500,8637.3000
1417,1307,8977.2500,340.2100,8637.0400
11065,779,8959.7000,324.9300,8634.7700
17709,1872,10004.2500,1372.3600,8631.8900
11615,1084,8631.4400,null,8631.4400
18605,894,8631.4400,null,8631.4400
3668,1723,8631.4400,null,8631.4400
2785,446,8631.4400,null,8631.4400
3359,737,8631.4400,null,8631.4400
6592,1917,8631.4400,null,8631.4400
13785,1561,8631.4400,null,8631.4400
7748,269,8936.9500,308.2000,8628.7500
14516,803,8808.2000,185.0400,8623.1600
11122,1842,9011.3000,391.3400,8619.9600
11264,631,9276.8500,658.1600,8618.6900
5702,873,9276.8500,661.9800,8614.8700
3868,463,9185.6000,578.0900,8607.5100
18541,1817,9011.3000,413.1400,8598.1600
14069,1920,8959.7000,367.3000,8592.4000
2769,1624,8959.7000,367.3500,8592.3500
5095,911,9578.7500,986.4500,8592.3000
16496,1222,9011.3000,422.8800,8588.4200
5193,580,8977.2500,390.5900,8586.6600
1157,1295,8959.7000,373.5600,8586.1400
15113,263,10180.6500,1594.5900,8586.0600
6728,1937,8823.6000,240.7100,8582.8900
8513,887,9011.3000,430.5100,8580.7900
4589,1487,9108.1200,529.6000,8578.5200
10112,1051,8936.9500,361.6500,8575.3000
7602,479,8959.7000,394.7900,8564.9100
18258,9,10004.2500,1440.4400,8563.8100
12239,238,9276.8500,713.5000,8563.3500
839,600,10004.2500,1445.2800,8558.9700
8843,1208,10078.5500,1521.2500,8557.3000
18127,164,9276.8500,721.1600,8555.6900
1385,1129,9011.3000,457.3100,8553.9900
9836,1403,9108.1200,555.3900,8552.7300
14600,748,9011.3000,463.0100,8548.2900
14538,1480,9100.2500,552.8000,8547.4500
17746,493,8959.7000,413.7200,8545.9800
19371,706,10495.3500,1950.2700,8545.0800
13703,361,8823.6000,278.9700,8544.6300
4375,1206,8936.9500,393.0500,8543.9000
2951,898,8959.7000,417.1500,8542.5500
5742,1532,10004.2500,1465.3200,8538.9300
8889,1888,8660.1600,127.0900,8533.0700
14406,1127,9100.2500,568.8400,8531.4100
14633,1144,8977.2500,453.3900,8523.8600
16165,194,9100.2500,577.2200,8523.0300
11134,1698,10078.5500,1558.2800,8520.2700
5782,42,8959.7000,439.7900,8519.9100
15760,1744,8660.1600,140.6500,8519.5100
16991,697,9154.4800,639.5500,8514.9300
9294,1512,8808.2000,293.4300,8514.7700
8697,81,10495.3500,1981.3200,8514.0300
19353,590,10078.5500,1564.8400,8513.7100
19305,636,8808.2000,295.4500,8512.7500
15884,1575,9276.8500,764.9800,8511.8700
460,1199,8907.9500,408.8600,8499.0900
3942,1422,9108.1200,609.4200,8498.7000
11448,240,10179.2000,1680.5600,8498.6400
17259,1366,10078.5500,1580.2800,8498.2700
1692,942,10078.5500,1589.4900,8489.0600
16489,69,9154.4800,673.9000,8480.5800
13265,1333,8693.0500,212.6600,8480.3900
10336,648,8907.9500,430.1000,8477.8500
3702,958,8808.2000,330.7200,8477.4800
1538,352,9276.8500,800.0500,8476.8000
5511,1964,8660.1600,188.8100,8471.3500
1738,1071,8936.9500,465.8200,8471.1300
7935,1759,9108.1200,638.6600,8469.4600
7948,1205,10179.2000,1711.6600,8467.5400
1944,750,10179.2000,1714.7000,8464.5000
9870,1334,8693.0500,229.0400,8464.0100
1427,1207,9276.8500,813.9000,8462.9500
14698,1637,9185.6000,723.4800,8462.1200
14443,192,8660.1600,198.6100,8461.5500
468,204,8631.4400,173.0300,8458.4100
2440,1120,8936.9500,483.9200,8453.0300
8659,285,9154.4800,702.6800,8451.8000
9598,684,10180.6500,1732.1200,8448.5300
5705,1042,9154.4800,706.3500,8448.1300
7369,783,10179.2000,1734.1000,8445.1000
14579,1834,10004.2500,1559.4300,8444.8200
19259,235,8907.9500,467.5000,8440.4500
10574,1135,8823.6000,395.3200,8428.2800
10384,1857,8907.9500,479.7900,8428.1600
3773,1194,10004.2500,1576.4000,8427.8500
16627,1454,10078.5500,1651.0300,8427.5200
8132,170,10078.5500,1652.2300,8426.3200
6291,1353,8936.9500,512.6200,8424.3300
8804,1128,9100.2500,680.6000,8419.6500
14521,1258,10179.2000,1759.9100,8419.2900
9097,730,10180.6500,1761.8100,8418.8400
13874,1919,8693.0500,282.1800,8410.8700
5959,753,10004.2500,1605.5600,8398.6900
13263,667,8396.2800,null,8396.2800
19367,68,8396.2800,null,8396.2800
13463,827,9108.1200,713.7100,8394.4100
6224,837,10078.5500,1684.2800,8394.2700
15975,1434,8392.1500,null,8392.1500
16037,1509,8392.1500,null,8392.1500
11788,1567,8392.1500,null,8392.1500
16173,507,8392.1500,null,8392.1500
19656,1712,8392.1500,null,8392.1500
8538,1207,8392.1500,null,8392.1500
9957,1486,8392.1500,null,8392.1500
4038,555,8693.0500,310.2200,8382.8300
17483,1557,8959.7000,578.0500,8381.6500
17146,1066,8977.2500,598.0600,8379.1900
10896,1167,9011.3000,636.9900,8374.3100
9745,1953,8823.6000,454.1100,8369.4900
12627,531,9100.2500,733.1500,8367.1000
9421,1923,9100.2500,736.3500,8363.9000
11720,259,9011.3000,648.3200,8362.9800
9510,377,9100.2500,742.8500,8357.4000
10831,1076,9011.3000,654.5600,8356.7400
13016,449,10180.6500,1825.6100,8355.0400
9001,1534,10004.2500,1658.0900,8346.1600
13198,1834,9154.4800,808.7300,8345.7500
9100,622,8823.6000,478.2100,8345.3900
2549,1043,8977.2500,636.4300,8340.8200
19332,1562,10078.5500,1741.0100,8337.5400
9339,1312,10078.5500,1741.6300,8336.9200
8219,885,8693.0500,356.7000,8336.3500
5191,1779,8936.9500,600.6800,8336.2700
18712,1917,10179.2000,1844.9000,8334.3000
5653,302,9578.7500,1245.0100,8333.7400
15631,667,8977.2500,647.6100,8329.6400
4701,284,9276.8500,948.5300,8328.3200
10127,987,9185.6000,859.2700,8326.3300
4598,569,8907.9500,581.7100,8326.2400
888,1629,8631.4400,308.5300,8322.9100
14917,827,8907.9500,591.0900,8316.8600
4783,390,9100.2500,787.9900,8312.2600
5489,953,9276.8500,965.5500,8311.3000
1627,1900,8959.7000,650.4900,8309.2100
1461,245,8305.9500,null,8305.9500
12312,407,8305.9500,null,8305.9500
823,1983,8305.9500,null,8305.9500
7352,146,8808.2000,504.4400,8303.7600
1073,1974,9578.7500,1275.4700,8303.2800
5957,556,8959.7000,656.9700,8302.7300
544,1078,8977.2500,675.6500,8301.6000
15734,940,8693.0500,393.6900,8299.3600
19948,1632,8660.1600,361.2900,8298.8700
14338,1634,10078.5500,1779.8900,8298.6600
1629,692,8977.2500,680.7300,8296.5200
16289,422,9276.8500,984.8600,8291.9900
2171,876,8291.6500,null,8291.6500
12052,116,8291.6500,null,8291.6500
15851,1728,8291.6500,null,8291.6500
6172,580,8291.6500,null,8291.6500
5219,304,9578.7500,1288.7100,8290.0400
6848,1984,8936.9500,646.9700,8289.9800
16113,1912,8977.2500,689.4600,8287.7900
2479,1314,8936.9500,650.2100,8286.7400
3764,842,10078.5500,1792.2700,8286.2800
1532,1468,9011.3000,732.6300,8278.6700
16101,605,9100.2500,822.8400,8277.4100
3460,1160,8392.1500,114.7400,8277.4100
7428,1188,8392.1500,116.3400,8275.8100
14435,239,9100.2500,828.3100,8271.9400
199,1516,9154.4800,886.5800,8267.9000
13189,903,10180.6500,1923.8200,8256.8300
18575,645,8977.2500,723.5200,8253.7300
13894,1462,9185.6000,935.8700,8249.7300
19198,853,8693.0500,446.9600,8246.0900
17509,2,8396.2800,150.6800,8245.6000
13468,528,8396.2800,154.8300,8241.4500
4233,1025,8693.0500,455.6800,8237.3700
10246,762,10004.2500,1774.2300,8230.0200
8438,1012,8808.2000,583.9300,8224.2700
4696,401,9578.7500,1354.7300,8224.0200
5567,1953,9578.7500,1359.7800,8218.9700
14767,1074,9011.3000,795.4400,8215.8600
14493,719,8977.2500,762.0900,8215.1600
11794,199,10078.5500,1864.9800,8213.5700
4960,1711,10004.2500,1791.6600,8212.5900
3204,1840,8211.6000,null,8211.6000
7565,886,8211.6000,null,8211.6000
8468,836,8211.6000,null,8211.6000
1165,124,10078.5500,1868.7900,8209.7600
12331,1812,8977.2500,768.2300,8209.0200
10538,1070,8392.1500,183.2800,8208.8700
12778,1577,9154.4800,946.1300,8208.3500
7733,1650,8396.2800,189.0200,8207.2600
4502,1274,9154.4800,947.5000,8206.9800
7097,487,10078.5500,1873.1000,8205.4500
17162,1276,8977.2500,773.7700,8203.4800
16297,1017,10180.6500,1979.6900,8200.9600
4884,273,9276.8500,1076.3900,8200.4600
10057,802,9108.1200,909.4100,8198.7100
