item_id,order_id,product_id,quantity,unit_price,discount_percent
I0000290,O987914,P00515,1,24697.43,40
I0000291,O000101,P00443,5,2118.77,10
I0000292,O000101,P00466,5,2459.3,10
I0000293,O000101,P00061,2,179912.24,5
I0000294,O000101,P00467,3,1220.68,10
I0000295,O000102,P00213,1,5175.76,0
I0000296,O000102,P00170,1,6784.54,15
I0000297,O000102,P00043,-5,153547.15,50
I0000298,O000102,P00538,2,824.91,30
I0000299,O000103,P00063,4,1056.82,70
I0000300,O000104,P00405,2,24214.54,70
I0000301,O000104,P00390,5,18157.56,0
I0000302,O000104,P00212,4,3797.81,5
I0000303,O000104,P00154,2,80330.28,40
I0000304,O000104,P00473,3,2242.15,0
I0000305,O000105,P00035,1,141008.57,40
I0000306,O000105,P00320,3,163.25,40
I0000307,O000105,P00521,4,9861.28,10
I0000308,O000105,P00145,3,93165.38,15
I0000309,O000105,P00470,4,1995.81,15
I0000310,O000106,P00514,1,12421.37,50
I0000311,O000106,P00514,1,8061.15,15
I0000312,O000106,P00326,4,817.89,10
I0000313,O000106,P00548,4,2790.53,70
I0000314,O000107,P00059,2,159863.25,40
I0000315,O000107,P00467,1,1844.13,20
I0000316,O000107,P00320,3,139.82,0
I0000317,O000107,P00015,1,37290.37,70
I0000318,O000108,P00467,3,2169.92,20
I0000319,O000108,P00152,2,16319.45,10
I0000320,O000108,P00134,5,35868.86,15
I0000321,O000108,P00525,2,11999.13,10
I0000322,O951012,P00010,2,29344.59,30
I0000323,O000110,P00070,4,146843.24,40
I0000324,O000110,P00338,5,966.92,40
I0000325,O000111,P00466,2,2817.13,0
I0000326,O000111,P00384,-2,7568.56,10
I0000327,O000111,P00116,4,225823.06,50
I0000328,O000111,P00121,4,72508.88,20
I0000329,O000111,P00398,1,1124.14,70
I0000330,O000112,P00193,5,3499.29,10
I0000331,O000113,P00172,4,9064.4,30
I0000332,O000113,P00145,5,84924.64,15
I0000333,O000113,P00064,4,217900.89,15
I0000334,O000113,P00393,4,42883.46,20
I0000335,O000113,P00470,2,1966.24,0
I0000336,O000114,P00541,5,3954.62,40
I0000337,O000114,P00331,4,888.74,30
I0000338,O000114,P00122,1,200183.03,40
I0000339,O000114,P00198,1,6384.01,0
I0000340,O000114,P00407,1,40488.35,70
I0000341,O000115,P00209,-5,5334.56,0
I0000342,O000116,P00101,1,117239.41,70
I0000343,O000116,P00320,5,100.02,30
I0000344,O000116,P00417,2,28834.84,30
I0000345,O000116,P00331,1,1092.52,5
I0000346,O000116,P00437,1,12580.51,10
I0000347,O000117,P00405,3,28430.48,40
I0000348,O000117,P00212,4,2988.54,20
I0000349,O000117,P00019,1,241801.54,5
I0000350,O000118,P00020,4,112441.41,15
I0000351,O000119,P00197,1,3454.06,30
I0000352,O000119,P00171,1,11051.71,5
I0000353,O000119,P00381,5,24367.12,20
I0000354,O000119,P00013,3,190655.58,5
I0000355,O000119,P00384,4,4869.33,5
I0000356,O000120,P00072,2,65265.63,15
I0000357,O000120,P00414,2,35987.94,15
I0000358,O000120,P00023,3,46086.96,40
I0000359,O000120,P00012,4,170606.74,10
I0000360,O000120,P00470,3,2690.54,0
I0000361,O000121,P00478,4,1564.95,40
I0000362,O000121,P00365,2,1867.04,70
I0000363,O000121,P00082,3,144314.93,70
I0000364,O000121,P00393,3,43571.65,15
I0000365,O000121,P00338,3,742.76,5
I0000366,O000122,P00178,4,12466.79,50
I0000367,O915379,P00229,3,3291.11,70
I0000368,O000123,P00457,3,734.64,5
I0000369,O000123,P00188,3,653.18,70
I0000370,O000124,P00343,3,529.51,70
I0000371,O000124,P00072,3,57908.63,30
I0000372,O000124,P00320,1,174.21,20
I0000373,O000125,P00047,2,48932.85,40
I0000374,O000125,P00466,4,2657.55,30
I0000375,O000125,P00466,1,2565.62,30
I0000376,O000125,P00070,3,138267.08,10
I0000377,O000126,P00474,1,1579.31,40
I0000378,O000127,P00012,0,165105.93,20
I0000379,O000127,P00448,0,3169.24,40
I0000380,O000127,P00205,1,4492.03,15
I0000381,O000127,P00486,3,13907.03,10
I0000382,O000128,P00533,2,6781.29,20
I0000383,O000129,P00012,2,108673.28,5
I0000384,O000129,P00534,2,3876.66,5
I0000385,O918628,P00079,2,4766.42,10
I0000386,O000130,P00332,2,1816.08,10
I0000387,O000130,P00036,5,85740.45,30
I0000388,O000130,P00202,5,1611.99,40
I0000389,O000131,P00224,3,3269.45,15
I0000390,O000132,P00415,4,20871.53,50
I0000391,O000133,P00121,3,61794.09,0
I0000392,O000133,P00457,1,973.37,15
I0000393,O000133,P00533,1,5915.86,5
I0000394,O000133,P00350,1,516.97,10
I0000395,O000133,P00443,2,2161.15,50
I0000396,O000134,P00198,3,5244.69,20
I0000397,O000134,P00314,4,572.01,50
I0000398,O000134,P00169,1,3411.58,40
I0000399,O000134,P00437,0,11820.92,5
I0000400,O000134,P00065,5,98624.16,10
I0000401,O000135,P00018,2,33296.37,50
I0000402,O000135,P00437,2,16611.62,20
I0000403,O000135,P00053,2,115787.87,20
I0000404,O000136,P00096,3,111981.93,70
I0000405,O000136,P00171,3,8271.64,10
I0000406,O000137,P00305,4,1296.17,50
I0000407,O000137,P00391,5,11473.7,20
I0000408,O000137,P00514,3,7805.05,30
I0000409,O000137,P00477,3,1912.55,15
I0000410,O000137,P00018,-5,57942.97,15
I0000411,O000138,P00329,5,1233.44,40
I0000412,O000138,P00413,2,16968.31,0
I0000413,O000138,P00226,2,5212.36,30
I0000414,O000138,P00127,3,213905.05,0
I0000415,O000138,P00316,3,2478.14,50
I0000416,O000139,P00229,-5,3728.96,50
I0000417,O000139,P00037,1,56230.17,70
I0000418,O000139,P00505,1,19864.42,5
I0000419,O000139,P00466,3,1767.14,40
I0000420,O000140,P00320,5,118.41,10
I0000421,O000140,P00404,2,928.41,20
I0000422,O000140,P00337,-2,894.2,5
I0000423,O000140,P00224,4,4348.78,20
I0000424,O000141,P00390,5,16741.65,50
I0000425,O000141,P00202,2,2004.47,70
I0000426,O000141,P00497,3,3114.86,10
I0000427,O000142,P00437,1,14211.0,50
I0000428,O000142,P00065,2,100628.8,20
I0000429,O000143,P00040,4,178571.21,20
I0000430,O000143,P00108,5,101187.73,10
I0000431,O000144,P00467,4,2306.88,40
I0000432,O000144,P00172,5,6525.53,50
I0000433,O000144,P00466,3,2491.27,40
I0000434,O000144,P00331,5,952.85,70
I0000435,O000144,P00390,5,13829.14,15
I0000436,O000145,P00188,4,606.65,15
I0000437,O000146,P00096,-5,180360.84,5
I0000438,O000146,P00052,4,103185.62,30
I0000439,O000146,P00078,2,201529.43,10
I0000440,O000146,P00026,1,8230.57,0
I0000441,O000146,P00437,-5,17792.42,50
I0000442,O000147,P00408,5,55730.11,5
I0000443,O000147,P00293,2,795.25,30
I0000444,O000148,P00332,1,2210.41,10
I0000445,O000148,P00016,3,216413.59,30
I0000446,O000148,P00338,5,1015.27,50
I0000447,O000148,P00145,5,76519.93,5
I0000448,O000148,P00486,1,14396.24,70
I0000449,O000149,P00149,5,93560.51,5
I0000450,O000150,P00065,3,101153.52,15
I0000451,O000151,P00538,4,1470.59,0
I0000452,O000151,P00065,5,81374.15,70
I0000453,O000151,P00212,1,4799.82,10
I0000454,O000151,P00331,5,1165.62,40
I0000455,O000151,P00212,5,3696.51,0
I0000456,O000152,P00457,2,878.45,0
I0000457,O000152,P00096,5,195285.44,15
I0000458,O000152,P00073,1,13437.23,50
I0000459,O000152,P00497,2,3295.13,5
I0000460,O000152,P00513,3,31497.95,5
I0000461,O000153,P00121,3,73484.59,30
I0000462,O000153,P00288,4,2829.23,10
I0000463,O000153,P00237,4,3702.9,50
I0000464,O966785,P00080,3,185712.04,10
I0000465,O000153,P00202,2,1380.8,10
I0000466,O000154,P00293,1,1325.63,30
I0000467,O000154,P00212,5,2716.93,0
I0000468,O000155,P00497,4,3246.56,70
I0000469,O000155,P00311,1,1377.59,10
I0000470,O000156,P00171,2,9451.54,30
I0000471,O000156,P00224,5,4435.4,5
I0000472,O000156,P00043,2,232553.69,10
I0000473,O000156,P00526,2,443.17,20
I0000474,O000157,P00430,5,57678.59,10
I0000475,O000157,P00414,4,44298.8,5
I0000476,O000158,P00065,3,85811.16,30
I0000477,O000159,P00365,5,1254.94,40
I0000478,O000159,P00332,4,1621.78,5
I0000479,O000159,P00012,3,105541.19,40
I0000480,O000159,P00397,4,28396.42,30
I0000481,O000160,P00390,3,11985.0,30
I0000482,O000160,P00409,1,18210.67,10
I0000483,O000160,P00212,2,3465.08,20
I0000484,O000160,P00317,4,251.89,70
I0000485,O000160,P00035,2,138606.2,50
I0000486,O000161,P00154,5,85281.18,70
I0000487,O000161,P00224,2,3525.95,15
I0000488,O000161,P00016,1,161927.72,5
I0000489,O000161,P00393,5,48810.74,40
I0000490,O000162,P00111,3,47727.8,5
I0000491,O000162,P00121,4,52460.97,0
I0000492,O000162,P00248,3,5227.66,40
I0000493,O000163,P00015,4,38399.59,0
I0000494,O000164,P00470,1,1470.32,70
I0000495,O000164,P00262,4,7527.68,40
I0000496,O000165,P00026,1,7417.19,50
I0000497,O000165,P00332,2,1571.46,20
I0000498,O000166,P00371,0,4620.92,10
I0000499,O000166,P00015,3,61537.47,50
I0000500,O000167,P00480,5,781.07,0
I0000501,O913094,P00228,4,6971.85,70
I0000502,O000168,P00085,-4,62753.64,20
I0000503,O000169,P00145,1,137581.21,0
I0000504,O000169,P00341,2,877.28,40
I0000505,O000169,P00331,1,1227.14,5
I0000506,O000169,P00473,2,3027.67,50
I0000507,O000169,P00078,5,221148.58,70
I0000508,O000170,P00307,3,472.58,50
I0000509,O000170,P00005,3,55881.61,5
I0000510,O000170,P00546,1,6692.26,20
I0000511,O000170,P00188,2,732.28,40
I0000512,O000170,P00372,4,4485.47,0
I0000513,O000171,P00012,3,100308.63,40
I0000514,O000172,P00384,0,4748.69,5
I0000515,O000172,P00523,1,15811.15,50
I0000516,O000172,P00145,3,139089.81,20
I0000517,O000172,P00045,2,37723.64,10
I0000518,O000173,P00141,3,134975.05,15
I0000519,O000173,P00407,4,39054.71,5
I0000520,O000173,P00407,4,39627.03,5
I0000521,O000174,P00202,4,1852.72,40
I0000522,O000174,P00457,4,953.54,15
I0000523,O000174,P00415,3,34401.58,0
I0000524,O000174,P00390,4,11562.34,40
I0000525,O000175,P00497,5,3279.2,5
I0000526,O000176,P00141,2,131915.1,40
I0000527,O000176,P00229,1,2530.14,40
I0000528,O000176,P00467,2,1584.53,15
I0000529,O000176,P00412,1,9583.29,20
I0000530,O000177,P00514,5,8083.65,70
I0000531,O000177,P00538,1,1211.63,50
I0000532,O000177,P00065,4,106731.11,50
I0000533,O000177,P00437,5,15375.17,40
I0000534,O000178,P00351,3,1732.15,5
I0000535,O000179,P00188,4,834.94,30
I0000536,O000180,P00070,2,182668.68,70
I0000537,O000180,P00249,2,6856.51,20
I0000538,O000180,P00121,2,46696.92,5
I0000539,O000181,P00019,-5,132952.75,5
I0000540,O000181,P00281,3,2245.8,40
I0000541,O000181,P00190,1,8048.74,20
I0000542,O000182,P00188,4,739.08,5
I0000543,O000182,P00079,5,7034.64,70
I0000544,O000182,P00198,3,4693.25,50
I0000545,O000182,P00078,1,179786.59,10
I0000546,O000183,P00414,1,35589.77,70
I0000547,O000183,P00046,4,76694.79,70
I0000548,O000183,P00102,1,146337.72,70
I0000549,O000183,P00426,-3,17346.53,0
I0000550,O000184,P00013,1,126576.9,0
I0000551,O000184,P00190,1,6322.3,15
I0000552,O000185,P00143,-3,90581.61,40
I0000553,O000185,P00170,5,5160.74,0
I0000554,O000185,P00229,2,3757.84,10
I0000555,O000185,P00514,2,13277.33,15
I0000556,O000185,P00085,1,58279.14,10
I0000557,O000186,P00127,5,184311.13,50
I0000558,O000187,P00361,3,866.68,30
I0000559,O000187,P00466,2,2774.05,50
I0000560,O000188,P00525,4,8274.3,50
I0000561,O000188,P00025,-3,109081.23,5
I0000562,O000188,P00541,2,3414.23,10
I0000563,O000188,P00268,3,2956.69,10
I0000564,O000188,P00512,2,2582.8,15
I0000565,O000189,P00057,-2,174146.64,15
I0000566,O000189,P00012,-1,131330.03,20
I0000567,O000189,P00529,5,5062.55,50
I0000568,O000189,P00320,4,118.12,70
I0000569,O000190,P00128,5,39120.75,30
I0000570,O000190,P00466,4,2334.34,30
I0000571,O000190,P00247,1,7595.24,0
I0000572,O000190,P00047,4,57967.89,5
I0000573,O000191,P00250,3,1616.67,20
I0000574,O000191,P00341,4,977.34,0
I0000575,O000192,P00546,2,4771.77,5
I0000576,O000192,P00343,3,376.94,20
I0000577,O000192,P00188,2,884.1,30
I0000578,O000193,P00171,1,7809.42,20
I0000579,O000193,P00457,5,1111.21,30
I0000580,O000193,P00065,1,126276.03,0
I0000581,O000194,P00512,5,5640.71,5
I0000582,O000194,P00188,5,482.83,0
I0000583,O000194,P00332,5,1993.28,0
I0000584,O000195,P00497,4,2715.67,70
I0000585,O000195,P00397,3,26749.66,20
I0000586,O000195,P00190,2,5800.21,5
I0000587,O000196,P00527,3,6710.76,50
I0000588,O000196,P00202,5,2412.96,30
I0000589,O000197,P00393,5,53141.67,10
I0000590,O000197,P00407,1,37719.63,20
I0000591,O000197,P00096,5,120981.22,70
I0000592,O000198,P00121,1,43167.47,10
I0000593,O000198,P00427,1,2001.38,10
I0000594,O000198,P00530,3,1334.75,50
I0000595,O000199,P00272,5,4572.18,5
I0000596,O000199,P00190,3,7615.49,0
I0000597,O000199,P00497,4,2317.42,0
I0000598,O000199,P00065,2,125690.33,70
I0000599,O000199,P00005,2,41449.74,10
I0000600,O000200,P00193,2,2669.72,70
I0000601,O000200,P00108,2,157205.11,50
I0000602,O000200,P00096,4,176997.11,15
I0000603,O000200,P00170,5,4793.01,20
I0000604,O000200,P00546,1,7620.1,70
I0000605,O000201,P00497,3,2841.29,50
I0000606,O000201,P00053,1,146772.36,5
I0000607,O000201,P00407,2,23973.78,5
I0000608,O000202,P00505,4,26853.14,20
I0000609,O000202,P00212,4,3672.67,40
I0000610,O000202,P00304,3,505.7,30
I0000611,O000202,P00470,2,2429.73,5
I0000612,O000202,P00550,1,5103.26,0
I0000613,O000203,P00171,1,11359.91,20
I0000614,O000203,P00154,1,92544.13,0
I0000615,O000204,P00466,2,2925.33,15
I0000616,O000204,P00333,2,2207.86,145
I0000617,O000204,P00131,2,85389.96,40
I0000618,O000204,P00407,2,32067.41,50
I0000619,O000205,P00533,1,6922.08,15
I0000620,O000205,P00437,1,11208.5,0
I0000621,O000206,P00320,5,135.14,5
I0000622,O000206,P00118,1,75881.24,30
I0000623,O000206,P00338,3,1112.06,5
I0000624,O000206,P00257,1,723.02,70
I0000625,O000206,P00393,2,34985.76,30
I0000626,O000207,P00102,3,208925.51,30
I0000627,O000207,P00505,5,24614.1,30
I0000628,O000208,P00453,2,1886.17,40
I0000629,O000209,P00127,1,148715.39,50
I0000630,O000209,P00450,1,630.2,50
I0000631,O000209,P00080,3,188863.88,50
I0000632,O000209,P00153,1,80555.42,50
I0000633,O000210,P00496,5,1931.01,141
I0000634,O000210,P00322,3,568.52,15
I0000635,O000210,P00072,5,47968.69,15
